x,y,z,rx,ry,rz
-0.13781867790849953,0.48063084796915945,0.3,4.041,1.516,-1.466
-0.22958322669350575,0.44417512539650206,0.3,4.041,1.516,-1.466
-0.31239425727198,0.39039701333832966,0.3,4.041,1.516,-1.466
-0.38302222155948895,0.32139380484326974,0.3,4.041,1.516,-1.466
-0.43871269897729104,0.239856556625123,0.3,4.041,1.516,-1.466
-0.47729381612386595,0.14896514051924112,0.3,4.041,1.516,-1.466
-0.4972609476841367,0.052264231633826645,0.3,4.041,1.516,-1.466
-0.4978353953249022,-0.04647493046469618,0.3,4.041,1.516,-1.466
-0.4789947561577444,-0.1434016163555452,0.3,4.041,1.516,-1.466
-0.44147379642946344,-0.23473578139294543,0.3,4.041,1.516,-1.466
-0.15037549078460727,0.5244216585619051,0.3,4.041,1.516,-1.466
-0.2505008095700252,0.48464441459929447,0.3,4.041,1.516,-1.466
-0.3408568451567604,0.42596651899804416,0.3,4.041,1.516,-1.466
-0.41791980174602017,0.3506763515067677,0.3,4.041,1.516,-1.466
-0.4786843004396665,0.2617101540065231,0.3,4.041,1.516,-1.466
-0.5207805860373738,0.16253751998877197,0.3,4.041,1.516,-1.466
-0.5425669451398025,0.05702608384935307,0.3,4.041,1.516,-1.466
-0.5431937313433933,-0.05070931301814628,0.3,4.041,1.516,-1.466
-0.5226365006076722,-0.1564670969568282,0.3,4.041,1.516,-1.466
-0.48169696454859234,-0.2561228192531916,0.3,4.041,1.516,-1.466
-0.162932303660715,0.5682124691546507,0.3,4.041,1.516,-1.466
-0.2714183924465446,0.5251137038020869,0.3,4.041,1.516,-1.466
-0.3693194330415408,0.4615360246577586,0.3,4.041,1.516,-1.466
-0.4528173819325514,0.37995889817026557,0.3,4.041,1.516,-1.466
-0.5186559019020419,0.2835637513879232,0.3,4.041,1.516,-1.466
-0.5642673559508815,0.17610989945830285,0.3,4.041,1.516,-1.466
-0.5878729425954683,0.061787936064879506,0.3,4.041,1.516,-1.466
-0.5885520673618844,-0.054943695571596375,0.3,4.041,1.516,-1.466
-0.5662782450576,-0.1695325775581112,0.3,4.041,1.516,-1.466
-0.5219201326677213,-0.27750985711343773,0.3,4.041,1.516,-1.466
-0.17548911653682275,0.6120032797473964,0.3,4.041,1.516,-1.466
-0.292335975323064,0.5655829930048794,0.3,4.041,1.516,-1.466
-0.39778202092632126,0.4971055303174731,0.3,4.041,1.516,-1.466
-0.4877149621190826,0.4092414448337635,0.3,4.041,1.516,-1.466
-0.5586275033644172,0.3054173487693233,0.3,4.041,1.516,-1.466
-0.6077541258643894,0.1896822789278337,0.3,4.041,1.516,-1.466
-0.6331789400511341,0.06654978828040593,0.3,4.041,1.516,-1.466
-0.6339104033803755,-0.059178078125046475,0.3,4.041,1.516,-1.466
-0.6099199895075279,-0.18259805815939423,0.3,4.041,1.516,-1.466
-0.5621433007868502,-0.2988968949736839,0.3,4.041,1.516,-1.466
-0.18804592941293047,0.655794090340142,0.3,4.041,1.516,-1.466
-0.31325355819958345,0.6060522822076717,0.3,4.041,1.516,-1.466
-0.42624460881110166,0.5326750359771876,0.3,4.041,1.516,-1.466
-0.5226125423056138,0.4385239914972614,0.3,4.041,1.516,-1.466
-0.5985991048267927,0.32727094615072344,0.3,4.041,1.516,-1.466
-0.6512408957778971,0.20325465839736456,0.3,4.041,1.516,-1.466
-0.6784849375068,0.07131164049593236,0.3,4.041,1.516,-1.466
-0.6792687393988666,-0.06341246067849657,0.3,4.041,1.516,-1.466
-0.6535617339574558,-0.19566353876067724,0.3,4.041,1.516,-1.466
-0.6023664689059791,-0.32028393283393003,0.3,4.041,1.516,-1.466
