step_order,x_dif,y_dif,z_dif,rx_dif,ry_dif,rz_dif,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,x_t,y_t,z_t,rx_t,ry_t,rz_t
16,-0.268718,-0.527464,0.737265,3.78747,1.2584,1.57832,-267.6251483588367,-175.3250853100319,114.51306380823172,-137.56029111736908,51.101418198363966,0.7268370701691084,572.4665180000001,-2993.640436,-484.827525,-108.68066,16.141098,-98.21529500000001
17,-0.259031,-0.779969,1.0989,3.55976,1.6801,1.73395,-274.24968638613933,-154.0987178738203,57.9254601299311,-78.03570578122786,79.50075886337738,1.4433494408699594,482.308211,-2760.191331,-129.76147999999998,-87.998729,-6.9914703,-88.82738
18,0.111567,-0.520133,0.74674,2.9338,1.58491,1.42357,-223.3389485419949,-177.6541587472387,121.3793900250795,-122.63187576523549,46.77014374607251,-0.9592230222962189,227.970823,-3131.462867,-480.43047,-92.19108800000001,-25.09115,-91.512169
19,-0.344075,-0.797672,0.93071,3.65089,1.62198,1.66001,-278.8694450882791,-169.7702594862386,74.71426944285447,-82.30538727054277,74.73890662804511,0.6849939623907044,554.368825,-2714.3884279999997,-296.95524,-91.198719,2.4133049,-90.564599
20,-0.358449,-0.821096,1.2,3.0065,1.84304,1.44006,-286.75964688502575,-137.9287029796382,18.356020769944724,-44.30023728282256,106.61025693999228,2.5397500184764,566.122049,-2686.034304,-31.020963,-76.77765600000001,-21.680494,-88.031423
21,-0.112724,-0.623757,0.989715,3.26646,1.70162,1.43104,-255.83596876622494,-163.45282683712614,90.31476428867653,-98.34763257641067,60.820615868727145,-3.276814385288594,397.857904,-2957.915843,-238.905805,-85.87849299999999,-6.5567998,-90.082533
22,0.0246464,-0.521353,0.852148,3.83159,1.62453,1.70261,-223.54062968588096,-171.89994361073985,107.28405530706613,-103.61540654484347,11.714866966583351,-9.603632083085293,298.6619336,-3101.158147,-375.770148,-91.450744,10.369286,-90.47837000000001
23,0.298617,-0.484481,1.18972,3.57144,1.8524,1.7396,-199.34290312412088,-136.39203017309734,36.319107083988726,-2.9207726818163486,15.012239077561238,-69.7289636674212,57.475309,-3229.992619,-42.941866000000005,-79.07786,-6.0156236000000005,-84.07604599999999
24,0.133504,-0.651371,0.781984,3.66171,1.84233,1.42314,-225.80037522987692,-181.2603551097921,88.23550045014677,-22.53391442047966,14.944171691499696,-55.82832000819326,150.85235600000001,-3014.835929,-449.58137400000004,-79.569439,16.686903,-88.399735
25,0.119766,-0.775978,1.01474,3.03248,1.71086,1.50687,-242.9272296419275,-163.60179586386013,74.13157136520644,-81.78514159256396,65.78128445896981,-4.536410531682147,131.557264,-2893.749522,-214.93857,-84.55544300000001,-24.25115,-89.32675900000001
26,-0.136978,-0.784286,0.73708,3.45548,1.37787,1.62355,-262.24507466255835,-183.4049361369668,99.13774137589608,-107.11904346206845,67.33113529479868,0.9332393862870362,366.811628,-2797.630514,-487.28117,-104.16957,-5.9787713,-96.17070899999999
27,0.0085488,-0.414267,0.840021,3.36441,1.72387,1.43581,-208.16358838015992,-166.75993923062123,112.09117120821374,-76.15869604437928,11.344793526708353,-46.70986858602475,353.5590312,-3197.156633,-389.309711,-84.904747,-1.2173409400000001,-89.847644
28,-0.0228133,-0.60373,1.17216,3.26473,1.45655,1.69216,-249.214295527898,-140.17870824111694,61.697241295277315,-108.48268301447982,69.16918390157838,1.621642447558769,323.6177333,-3006.7958700000004,-53.155584999999995,-100.37064,-21.185012,-95.117705
29,-0.0523894,-0.898384,0.872471,3.41925,1.80344,1.47791,-255.15873265238028,-177.26110969977896,75.42015344645566,-62.350413181726445,54.524554545373064,-5.643118620022991,245.8555594,-2720.157616,-358.065401,-80.689604,-0.31022229999999995,-88.284386
30,0.140381,-0.658525,0.940968,3.11188,1.71886,1.45999,-231.50417008040426,-169.5307631278739,91.72767821146915,-90.64077727410597,47.422341604269924,-8.168487397841607,150.346259,-3011.0539750000003,-289.387428,-84.474195,-16.98054,-89.669685
31,0.0974583,-0.879568,0.906992,3.52136,1.69223,1.61884,-243.34778066355352,-172.51186253593957,72.20643317356686,-70.47323584329612,44.53864502137649,-4.064665731061184,111.0209317,-2789.1821320000004,-323.153062,-87.225332,-2.61745127,-89.17663
32,-0.122307,-0.807689,1.00455,3.44929,1.73188,1.51089,-259.3648158264357,-164.72651201570196,71.41747028967173,-76.3672526818069,58.45831087940276,-2.6693072351113822,342.853117,-2781.412411,-224.8251,-84.78003000000001,-0.5500707,-89.087894
33,0.192351,-0.798894,1.16046,3.5096,1.6777,1.48607,-231.6835058702802,-143.84449221436395,34.28321615055037,-57.409798114313354,26.175233095874578,-9.56936920693647,48.036634,-2897.877306,-69.127926,-87.864947,4.3071949,-90.033326
34,0.0259528,-0.856178,0.830248,3.71132,1.70074,1.42898,-244.31550637952944,-179.00576618595233,76.6182081960742,-62.10174949863966,24.06760784648585,-10.226952868408118,181.2900372,-2786.013622,-398.777478,-87.070695,19.053884,-89.91779
35,-0.310979,-0.7192,0.988345,3.41374,1.68707,1.49707,-278.24663996497196,-165.6587143483798,77.57103700937675,-85.36670076992674,78.3525514419352,0.4306339329047365,551.233519,-2800.1731,-239.610535,-87.04125400000001,-1.8329811900000001,-89.833531
36,0.220614,-0.75581,0.864821,2.99123,1.90895,1.39751,-232.81624343125387,-180.5819730803572,88.5391680815661,-64.15866798315932,54.40847329607956,-17.427599958714737,43.004115000000006,-2946.19529,-368.334061,-72.97072800000001,-20.13468,-88.194034
37,0.211897,-0.550462,0.760572,3.51068,1.4897,1.66654,-211.72738586587363,-178.87799659763814,112.3581695407447,-128.90633657971313,16.506111936805834,13.069740264729209,117.572483,-3138.9942379999998,-465.566752,-97.906583,-5.7688251,-93.980432
38,0.354441,-0.441864,1.13096,3.00568,1.77581,1.58757,-193.61676291958344,-150.7824381556031,71.46216099769192,-72.37946642769637,25.159608108225683,-27.632436656230805,25.726319999999998,-3288.213036,-100.69690800000001,-79.97612699999999,-30.185854,-87.199752
39,-0.162169,-0.447534,1.15482,3.70776,1.5695,1.59739,-246.37815444200044,-140.05036569500766,74.96236016814613,-115.00638046983936,35.41308892254836,0.0006875493541569879,499.840599,-3106.9655660000003,-71.589721,-93.80037499999999,9.264029,-91.80001800000001
40,-0.269795,-0.763044,1.13229,3.30817,1.54543,1.6926,-279.5277735948845,-147.67127732804272,49.889898940559846,-83.66673499177358,96.91065442622258,-0.46007135850296793,501.781415,-2771.8777560000003,-94.14448399999999,-94.986686,-19.022395,-92.59381499999999
41,-0.00321808,-0.754473,0.790211,3.509,1.72966,1.4448,-244.7790292357903,-184.77373230953432,96.57776594725156,-77.63062462007038,37.06710348553202,-8.137604972684056,246.43759808000001,-2871.864227,-439.894871,-85.04819,6.5583558,-89.649394
42,0.082487,-0.653789,1.11907,3.55096,1.34614,1.47374,-231.00798862982097,-143.5700454304963,59.75434141198868,-125.95273914581374,24.30412482431585,22.280266004575243,199.61400300000003,-2996.410711,-105.07334999999999,-105.56320000000001,8.0488254,-94.947187
43,-0.00117964,-0.839371,0.769119,3.16998,1.44849,1.72156,-257.45228270628894,-181.93759122363673,92.48913912119801,-97.59763082258443,84.456843791259,0.43541927640966915,225.86716964000001,-2791.448929,-456.177849,-101.21099,-28.236100999999998,-95.746693
44,-0.0845383,-0.570584,1.00444,3.06365,1.32731,1.42159,-255.3054098479338,-152.03664276914446,85.10657793093735,-127.72547056394849,71.8781283569569,5.69522913149014,392.07777830000003,-3016.305916,-218.52255,-107.68947999999999,-16.893976,-94.57466799999999
45,-0.313721,-0.576396,0.881799,3.0944,1.45308,1.42808,-287.94223177417575,-169.1388599960044,95.90396758017772,-113.67597246954558,102.34802390201409,-1.2136048241784019,606.678131,-2932.263904,-342.934019,-100.23397299999999,-15.954558,-93.101254
46,-0.0581378,-0.432753,0.991785,3.07052,1.68162,1.66217,-250.45990577451238,-153.79906094696688,100.79874602398033,-120.57495728071582,79.8153126929042,-1.6284434565869719,417.8458478,-3153.984247,-236.59929499999998,-86.016805,-30.914907,-88.901908
47,-0.0100585,-0.821364,1.14152,3.44772,1.58316,1.46881,-248.9060442341176,-146.90236796697715,45.971784354337224,-78.13081677521957,45.497375299968894,-0.4970913075619607,230.3802685,-2806.583736,-86.724751,-92.966402,1.7674961000000002,-91.542311
48,0.0460485,-0.6869,1.11497,3.20553,1.3923,1.51006,-242.44766396740297,-146.06012000813485,62.558969819154065,-108.87000248398824,55.814110654874014,6.301389830848794,227.7339015,-2952.5641,-109.79207,-103.865,-14.032002,-94.798422
49,0.183488,-0.580673,1.19242,3.14673,1.84835,1.44376,-219.93958994348372,-146.5408315982496,61.15980688344459,-66.56680959609417,35.626229222337024,-23.378511506282006,134.41434199999998,-3099.601827,-39.960482,-77.027557,-13.95499,-88.19936299999999
50,-0.0713696,-0.897296,1.09164,3.60346,1.42676,1.43629,-253.83978380798914,-147.02268910395463,38.80041540736178,-83.32296031469511,39.97136925327065,5.129542170779526,259.5266796,-2714.183204,-133.88801,-101.31351,12.84549,-93.395909
51,-0.231294,-0.663053,1.13259,2.89088,1.29124,1.52992,-282.5380938505018,-142.07634445859023,51.55021603928994,-106.50196791671256,114.08334546188361,-3.1047207819431,503.440784,-2877.5828469999997,-89.587408,-111.34017,-32.528293,-97.46551600000001
52,-0.15859,-0.57144,1.10455,2.93044,1.25769,1.41491,-271.0737813277292,-142.5593478798855,66.46940677092194,-121.51518102252551,94.57126774870342,2.369014325105366,463.69561,-2989.5494599999997,-117.09343,-112.13913000000001,-23.858512,-95.34962800000001
53,-0.0338275,-0.509566,1.04604,3.25597,1.30489,1.60209,-241.83918278897403,-144.70622073824072,82.20970331875591,-135.4151371323993,58.07786690343589,7.848948835497147,364.4867875,-3091.8107339999997,-176.46754,-109.02575,-15.818461000000001,-97.709722
54,0.0629079,-0.63505,0.997523,3.17153,1.43416,1.70649,-242.5599636952486,-157.12393503211104,84.80119142613262,-116.07265492657783,68.74748696436208,2.781796039029416,233.3584721,-3005.82445,-227.770743,-102.101135,-27.257987,-96.078013
55,-0.0187323,-0.81509,1.00486,3.34309,1.65382,1.60438,-253.20551952877932,-163.47975585349727,71.5566990338885,-82.87032365654176,63.60118004849703,-1.4001255048052903,245.4162523,-2810.24521,-223.44576,-88.713037,-12.062636,-89.994589
56,-0.0146133,-0.787255,1.11338,3.09708,1.4711,1.70284,-258.73628112517713,-148.5037850043678,54.92149970583971,-92.1264568368802,88.83023064149258,0.3243325002163197,256.2622433,-2835.261345,-112.47397000000001,-99.90900900000001,-31.432911,-95.031742
57,-0.124599,-0.492546,1.02957,2.83057,1.40148,1.66793,-277.12192381313014,-151.23965847611748,84.33480378089612,-123.79612600494131,120.25180908426206,-2.4985830008962506,463.91312899999997,-3072.336954,-194.55618,-105.83292999999999,-44.327434,-97.806234
58,0.100771,-0.481948,0.854078,3.02397,1.35997,1.61005,-222.74536426623936,-159.8557977992948,108.6293602100333,-143.88517221781825,52.80757192070453,10.649967608553203,251.55642899999998,-3162.692552,-369.467468,-106.88148000000001,-29.77467,-97.208624
59,-0.312214,-0.562697,1.09113,3.54595,1.3616,1.5363,-278.96455608227086,-147.38307955709192,69.80574001196872,-113.9085933343687,73.6382547035988,-1.5516441937276362,603.916954,-2946.232403,-132.32559,-104.71067000000001,4.1259213,-95.436861
60,-0.147474,-0.682996,0.815498,3.19648,1.59373,1.45027,-263.8063846542898,-178.79319884395878,102.86826957999287,-102.70784139735623,73.70299893444857,-0.35928521755048043,412.735134,-2889.952004,-411.222458,-91.953508,-11.5895256,-91.358883
61,0.0443182,-0.89271,0.890107,3.19273,1.43495,1.65367,-253.19348741508156,-170.04184148113058,74.43294716544524,-92.45418869569502,75.07294102260637,1.6285064819444364,162.4365018,-2757.31189,-335.751497,-101.76111999999999,-23.074079,-95.40851
62,-0.191644,-0.575171,0.976158,3.75552,1.70064,1.67893,-259.7022879677677,-163.45683754169204,93.20304453393102,-101.90512752637797,50.73312092765387,-0.7267740448116441,485.558514,-2976.520629,-251.844528,-87.619563,7.4072792,-88.50880799999999
63,0.158279,-0.744025,1.02294,2.79882,1.59381,1.69084,-246.2927837305259,-160.51985588385145,73.57866709290518,-91.8159137119193,92.75212674916305,-0.4264943128349163,112.004641,-2933.1463750000003,-204.93244,-91.27318700000001,-48.167767999999995,-91.19255899999999
64,0.0947574,-0.578654,0.959257,3.21215,1.47456,1.6472,-231.21711822504372,-159.53322256063618,93.63620062704992,-121.11525648152418,51.708868052761666,3.911113041966123,222.2102126,-3070.7112460000003,-266.498727,-99.21443099999999,-21.694637,-94.334249
65,-0.249907,-0.590521,1.05015,3.38716,1.22252,1.39826,-270.831993138184,-147.80019283194716,71.81796778846817,-125.03142301124338,67.41478713288778,3.2885199130431166,535.674427,-2940.830779,-171.17045,-112.88512,3.3525539999999996,-95.05610399999999
66,-0.155809,-0.769215,1.02768,3.69056,1.3482,1.51542,-258.3140112301657,-155.4148019292358,65.51428612643885,-105.80353236444807,44.086409433679734,4.6255684941824535,383.374709,-2805.1590850000002,-196.4459,-105.01389,13.691365,-95.484379
67,0.133872,-0.460495,1.02665,3.12054,1.83959,1.46128,-208.25927233194676,-157.74330240864748,92.59742814447773,-79.88750537509068,27.60820054149677,-32.16086588582677,223.208708,-3195.951305,-205.20617,-77.327279,-16.457986000000002,-88.010097
68,-0.274289,-0.64827,1.11448,3.50007,1.85296,1.46297,-272.45002595163345,-155.58611630997993,69.66651126775193,-77.48509334010714,65.83285066053159,-1.184126145618921,537.9804489999999,-2878.1596299999997,-116.57038,-78.402442,5.2537415,-87.77063
69,-0.084383,-0.546967,1.13446,3.36576,1.73762,1.72176,-253.77217478816374,-148.5352976831,77.52233559679064,-99.04549517088002,69.63385267342947,-1.3829940667308784,399.656753,-3038.9455329999996,-95.05018100000001,-83.832882,-17.259235,-87.220747
70,-0.213505,-0.436712,0.975721,3.77,1.56689,1.58915,-255.28363745171882,-155.12946894726065,98.85126247833067,-124.00124489559815,40.302710746194805,0.03566266933810734,551.004675,-3098.408188,-250.487891,-94.002256,13.360710000000001,-91.873727
71,0.351303,-0.500177,1.10707,3.41508,1.68054,1.74369,-198.97048055728587,-152.43714026794092,66.8406834221667,-69.28091067162887,14.369151248306402,-22.770889764545768,5.4502411,-3233.439823,-123.16534999999999,-87.351032,-15.772686,-88.862094
72,0.348681,-0.737729,1.13715,3.40949,1.66698,1.66132,-220.27133250686447,-148.07349370022456,43.43386780080524,-64.84335254834065,30.40669830025425,-7.694651301268417,-75.530865,-3009.035571,-93.325783,-88.20931900000001,-11.519723800000001,-89.601862
73,0.220337,-0.502545,0.831392,3.42543,1.55025,1.45454,-204.63416836215404,-170.1254933192197,107.63585139327645,-151.91632163216698,2.0108641369470397,34.00642023972267,123.020813,-3186.933555,-396.013822,-94.587327,1.328486,-91.999658
74,0.236392,-0.467457,1.13651,3.4883,1.5097,1.60988,-199.04668394403825,-135.24210387826977,62.570428975056686,-175.25346558564055,3.550430380353318,66.63499157371474,120.72471800000001,-3225.772043,-90.395673,-96.835967,-3.8499896000000002,-93.241995
75,0.0775192,-0.577199,0.969278,2.94787,1.62596,1.40777,-233.91460352451963,-161.84969092635006,95.29663231733905,-109.69678058236202,55.711780392663655,-2.770806708518807,239.14845079999998,-3066.242701,-258.81375799999995,-89.78017299999999,-23.454525999999998,-91.098402
76,0.160728,-0.640925,1.1163,3.33188,1.30037,1.56724,-226.68960572791994,-142.8750476250026,60.14624454385817,-122.54421322258047,37.896116119306804,17.363657868778137,135.305902,-3035.272075,-107.02418,-108.80799,-9.4426597,-97.114432
77,0.00827923,-0.87575,1.10718,3.19534,1.6669,1.55408,-254.0506322765973,-151.96445008695798,49.06552726492561,-71.24271816215682,70.05211186387497,-1.7429433423659155,200.07184077,-2761.46265,-122.17129,-87.700636,-17.627437999999998,-89.947503
78,-0.284814,-0.693461,0.823516,3.21849,1.23392,1.64675,-282.9070786705661,-171.6833655641804,90.77026573580554,-118.75868107015113,101.81918385710833,-5.78641536458521,540.687744,-2830.867839,-398.004056,-113.75524,-19.769744000000003,-100.206187
79,0.0589769,-0.493526,0.991341,3.26035,1.55499,1.74364,-227.08380069096998,-154.0746536464248,96.34514508242844,-123.45292428565794,50.137359412276844,0.6027229525878695,285.43619309999997,-3138.323774,-235.53848100000002,-94.398466,-24.664175,-92.532992
80,-0.353021,-0.86287,1.02038,3.418,1.37714,1.47298,-279.4750614777324,-154.65276806171178,50.37794439045227,-86.63866707511717,77.92340605338222,-0.8063349642435101,541.014541,-2649.94683,-203.35101,-104.18365,0.3120391,-94.37210200000001
81,0.104195,-0.438244,1.06897,3.27722,1.5279,1.69317,-206.67790881738568,-144.7520573618512,87.40643052059248,-128.21821426776103,25.96965583898164,4.6200967472389545,260.028825,-3207.124556,-157.34077000000002,-95.992572,-20.802989999999998,-93.17057799999999
82,-0.224691,-0.661224,1.17491,3.2807,1.8391,1.73391,-277.6450342800846,-149.46864593136812,59.77496789261339,-74.92454495366749,98.37112384601105,4.444548208388822,494.823111,-2882.282876,-56.153040999999995,-77.233127,-22.267270999999997,-83.97867699999999
83,-0.252988,-0.670981,1.09011,3.59515,1.85339,1.48618,-268.45307237280076,-157.87852044829833,71.03530744031947,-75.9455557445906,57.86014294128618,-2.1440940130488104,509.114098,-2863.983119,-140.79680000000002,-78.914732,9.399297999999998,-87.397354
84,0.20929,-0.418248,0.865923,3.2139,1.61323,1.5898,-192.67482030438836,-167.31456237630786,109.63203635151224,-108.02030607380924,9.883808444904266,-13.966075439431869,168.22186,-3262.158652,-362.154713,-90.806854,-18.595806000000003,-91.025911
85,0.0977333,-0.804486,0.93898,3.16963,1.67822,1.71619,-247.39916523292354,-170.3277474209009,80.57906543381358,-83.85523810637163,74.1550626348068,-1.6222669715554616,143.3535567,-2857.901414,-290.85488000000004,-86.52515,-28.34062,-88.766216
86,-0.231447,-0.596729,1.13272,2.90749,1.48252,1.46573,-282.63606963346916,-146.2543527006842,63.75874344215801,-102.74451069624462,109.95346567458063,-0.6643789409218973,525.246647,-2940.428171,-92.48119000000001,-98.64950999999999,-28.831012,-93.11434799999999
87,0.117216,-0.603654,1.03828,3.41701,1.26282,1.59204,-226.76523615687722,-148.43560302674723,74.68905929986872,-136.57766849871973,35.284517193321,20.5234055173656,187.782974,-3055.285846,-184.56154999999998,-110.52016,-5.7257709000000006,-98.18602899999999
88,0.0508939,-0.778687,0.709455,3.1526,1.22806,1.71869,-251.45112276008874,-182.35928816085303,100.67212235125643,-118.28198018460228,79.84567945604613,3.383143892908972,196.9703661,-2865.531513,-512.524645,-115.33606,-27.270947,-102.31406
89,0.0811414,-0.514657,1.1436,3.76985,1.34255,1.55264,-217.07881167239555,-125.73787997263967,45.34502582224361,-193.54055953283105,10.570326475030019,86.16368506295372,245.9253086,-3126.997743,-80.322415,-104.75096,16.096153,-96.27588899999999
90,-0.00982344,-0.502384,1.0195,3.80379,1.33018,1.4985,-225.11855545367123,-140.44799840482844,75.66366050938626,-193.97428858374508,11.035281725778681,69.91173720406793,334.93527344,-3106.478116,-204.01399,-105.41826,21.179962,-95.78802999999999
91,0.305763,-0.716986,1.14972,3.57545,1.55391,1.49155,-219.2176631216189,-144.24040605079935,39.12998073112103,-80.05251722008836,9.7985523249888,4.64547877756325,-32.433368,-3014.1826140000003,-78.435867,-94.56141000000001,7.8187801,-91.964703
92,0.357312,-0.838837,1.13284,3.44513,1.72345,1.71899,-226.18998653056588,-144.56527312063855,27.373517028611186,-49.14322034194535,37.837044170628815,-8.28640211207953,-116.955772,-2916.059963,-98.469003,-85.194748,-12.589851,-87.82432100000001
93,-0.252747,-0.758858,0.783583,3.00508,1.65885,1.45778,-279.27853695400256,-184.5634567987213,95.28058949907538,-85.63255318686744,100.5638333279767,0.20228160365534686,489.000057,-2781.340342,-444.560903,-87.77225700000001,-23.038703,-90.408721
94,-0.298665,-0.786224,1.17346,2.80705,1.33401,1.43815,-285.87729188052424,-132.46268561409016,19.588338395712096,-81.55309368553598,117.15325332819455,-2.216767979783204,524.576305,-2738.430576,-49.734215999999996,-108.08714,-32.54111,-95.087111
95,-0.0305218,-0.575727,1.15761,2.89814,1.65054,1.42089,-251.85734983683648,-145.37257065397787,70.81185390021844,-100.89901363812824,77.26335867339151,-2.143383545382848,341.82434179999996,-3029.849073,-70.619634,-88.157333,-27.060541999999998,-90.707416
96,-0.0850031,-0.651785,0.918292,3.09954,1.39212,1.71475,-264.6113903564486,-164.33289001044707,91.20800549128549,-117.13950234111142,95.17344639138591,-0.5533173748715337,369.5722531,-2938.717615,-305.39482200000003,-105.14282,-31.5519,-97.60440799999999
97,-0.114894,-0.401015,0.717833,3.34079,1.36202,1.62727,-245.3938129499657,-162.89992256482486,126.55892849306215,-157.56224774538612,57.706017294396,5.072636002567132,478.31530399999997,-3166.048785,-504.75136299999997,-105.38137,-12.695518999999999,-96.681345
98,0.15983,-0.736192,1.14467,3.46976,1.46013,1.41378,-230.13480095004158,-144.17336998876905,47.66040556814678,-99.0581002423729,22.946673216091906,12.272985154820287,98.853154,-2945.407708,-81.548029,-99.621034,6.426561100000001,-92.927435
99,0.213361,-0.498335,1.04936,3.50663,1.85297,1.5055,-205.47068674304504,-150.8941649256536,62.09029034273705,-1.1144831256207695,15.063805279123013,-84.22364996864076,130.130939,-3187.7055649999998,-182.99972,-78.49325,3.1969081,-87.246361
100,0.201983,-0.751033,1.10469,2.99051,1.6344,1.41492,-233.50665757438645,-153.0164005988182,60.333028785070816,-82.82162224395563,53.29126289135397,-3.2918946344564373,61.410399,-2945.208667,-124.54858,-89.3643,-21.406768,-90.971296
101,-0.318837,-0.821362,0.822074,2.93512,1.63301,1.41653,-284.44031373033613,-179.97922147987958,82.0813607726466,-78.44594356254153,107.37744742767245,0.31613576599917814,530.3039570000001,-2700.0144379999997,-405.112104,-89.343623,-24.658448,-90.884684
102,0.069609,-0.815581,0.992293,3.29136,1.79109,1.71952,-248.24255910735613,-167.01891615402036,73.83936288968971,-73.39703947184871,68.48220750521652,-3.121880867907268,164.64355099999997,-2838.676319,-238.88392299999998,-80.261844,-21.133702,-85.640361
103,0.0212181,-0.608875,1.0647,3.02839,1.40616,1.61743,-248.07410951558768,-149.67491073761522,76.77519863194004,-116.70520033240226,77.43581896972589,3.1218751383293166,282.8244319,-3015.7592250000002,-159.92579999999998,-103.95739,-30.245373999999998,-96.065059
104,0.0305402,-0.891675,1.16576,3.15648,1.36535,1.5787,-253.71487900865063,-133.89049643955616,20.516988390060135,-78.91691487013907,73.61648230738382,3.2768659514901555,174.33312980000002,-2753.652825,-59.115733,-105.91798,-20.545761,-96.190187
105,-0.0792117,-0.746416,1.03995,3.46811,1.53124,1.49017,-252.97404457954647,-157.5800094370352,70.99290856347979,-96.22596986104124,49.63642241199396,1.055267937493999,321.56632169999995,-2853.854484,-186.75142,-95.72418599999999,1.7472452,-92.27752600000001
106,0.162549,-0.733554,0.807262,3.58757,1.40193,1.63488,-230.71062353414806,-176.95744206835963,94.06076235324186,-114.93189595647235,29.66070725099392,11.356882936185613,100.14491100000001,-2949.0230460000002,-417.773572,-102.38874799999999,0.7738935,-95.785266
107,-0.387058,-0.477439,1.12621,3.42164,1.44616,1.62943,-298.81467889457826,-145.60461856100585,66.32502140654896,-107.85644014440182,105.84593124128776,-3.9878664682018474,707.610528,-3001.062261,-98.109695,-100.496579,-8.6046738,-94.693625
108,0.0214642,-0.476,0.825105,3.06085,1.27286,1.57582,-233.90944690436345,-159.1023582986978,110.4771490993302,-151.01448606263108,60.50147837683927,11.328808004224204,327.05833579999995,-3140.9882,-396.879575,-111.92795,-25.206421000000002,-98.406644
