step_order,Timestamp,x_dif,y_dif,z_dif,rx_dif,ry_dif,rz_dif,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,x_t,y_t,z_t,rx_t,ry_t,rz_t
23,20200714164237,0.8,0.6,0.8,1.5708,1.5708,1.53589,-123.51423076973697,-115.66241714526417,-63.82635246198345,-0.41750575094490394,31.42495889376075,-0.18235585041408225,1686.5570000000002,-1663.2963,-516.7194,-92.046698,-59.305304,-92.675967
24,20200714164246,0.8,0.6,0.8,1.5708,1.5708,1.6057,-124.0539570127502,-114.6207798737163,-65.33781512553855,0.041390929486486774,35.94381972817804,-0.14943426846366026,1687.1223,-1662.2422,-516.4134900000001,-92.18123200000001,-63.272217000000005,-92.828026
25,20200714164251,0.8,0.6,0.8,1.5708,1.5708,1.64061,-124.34100886811073,-114.10282602691805,-66.06890927212548,0.17243508619139203,38.22470741481433,-0.05345667580680825,1687.5988,-1661.7302,-516.3289799999998,-92.370727,-65.23613,-92.995954
26,20200714164255,0.8,0.6,0.8,1.5708,1.5708,1.67552,-124.66816776913045,-113.60435274515423,-66.76218820423378,0.30002304688450915,40.64155798623517,-0.02329457318929534,1687.9007000000001,-1661.0391,-516.20287,-92.591143,-67.28637900000001,-93.25483200000001
27,20200714164259,0.8,0.6,0.8,1.5708,1.5708,1.71042,-124.98042976747672,-113.19468792163569,-67.34660515526721,0.4824980725199786,42.86646769628718,-0.041135046535181345,1688.0524,-1660.5706,-516.20799,-92.727202,-69.206482,-93.436219
28,20200714164322,0.8,0.6,0.7,1.0472,1.5708,1.5708,-129.58529156694317,-111.32569959391896,-80.06512229158123,11.351554428690896,69.57369210494073,0.010986351130074509,1689.9959000000001,-1653.2676999999999,-616.10567,-155.52589,-90.863915,-156.46401
29,20200714164332,0.8,0.6,0.7,1.22173,1.5708,1.5708,-127.29517925980525,-112.18284445543466,-78.85446247046981,10.98394470733496,57.221180408156286,-0.03769260151047634,1689.7421,-1656.2878999999998,-616.20734,-94.35596699999999,-81.23052700000001,-95.22234200000001
30,20200714164341,0.8,0.6,0.7,1.39626,1.5708,1.5708,-125.3476957141556,-113.7189443041804,-76.66805552425058,10.33782020176593,45.291167789501316,0.023324481586201172,1689.0415,-1658.9664,-616.1156500000001,-92.667846,-71.21310400000002,-93.321483
31,20200714164350,0.8,0.6,0.7,1.5708,1.5708,1.5708,-123.78695868021921,-115.8898813899311,-73.50532849512844,9.392726318697637,33.72395204672318,-0.01504369446051392,1687.6422,-1661.7554,-615.9904300000001,-92.150823,-61.278380000000006,-92.670001
32,20200714164359,0.8,0.6,0.7,1.7453299999999998,1.5708,1.5708,-122.66797210632875,-118.58392894263622,-69.48717547787598,8.079220573360224,22.656470092858143,-0.09941046928637835,1686.0889,-1663.9329,-616.15557,-92.02322,-51.287656,-92.477029
33,20200714164415,0.8,0.6,0.7,1.5708,0.8726649999999999,1.5708,-123.78695868021921,-115.85951462678916,-73.5397059628363,9.289823098692143,33.756266866368556,39.990448747848504,1687.5756000000001,-1661.9438,-615.9503000000001,-92.178735,-60.694629,-52.819942
34,20200714164421,0.8,0.6,0.7,1.5708,1.0472,1.5708,-123.78695868021921,-115.89274617890675,-73.50819328410411,9.400232065813851,33.737015484452165,29.918996625038893,1687.5224,-1661.8827999999999,-615.9583,-92.088667,-60.82654499999999,-62.695101
35,20200714164428,0.8,0.6,0.7,1.5708,1.22173,1.5708,-123.78982346919489,-115.85722279560864,-73.55517582330482,9.3632189922484,33.78995678472225,20.00161285333996,1687.6764,-1661.8632,-616.07018,-92.176208,-61.04511100000001,-72.79603900000001
36,20200714164435,0.8,0.6,0.7,1.5708,1.39626,1.5708,-123.79154234258027,-115.85607688001839,-73.55804061228048,9.315892678370593,33.75901706378519,10.050653754846362,1687.6908,-1661.7821,-616.1066400000001,-92.240829,-61.182590999999995,-82.84941999999998
37,20200714164448,0.8,0.6,0.7,1.5708,1.7453299999999998,1.5708,-123.78925051139976,-115.85779575340376,-73.55288399212431,9.346087554173987,33.77895599505574,-9.997884341914814,1687.7726,-1661.7243999999998,-616.0586700000002,-92.23591300000001,-61.509267,-102.82098
38,20200714164455,0.8,0.6,0.7,1.5708,1.91986,1.5708,-123.78867755360461,-115.91451857512173,-73.51277694646514,9.555274445176252,33.760392162493496,-20.157514669395056,1687.6627,-1661.7078,-616.25477,-92.03045900000001,-61.651708,-112.71434
39,20200714164502,0.8,0.6,0.7,1.5708,2.0944,1.5708,-123.78008318667766,-115.90878899717042,-73.50017187497227,9.417363503888264,33.675193338357545,-30.083492808020956,1687.7033000000001,-1661.6481999999999,-616.16673,-92.154605,-61.725762,-122.78856
40,20200714164509,0.8,0.6,0.7,1.5708,2.26893,1.5708,-123.77836431329227,-115.89675688347266,-73.51048511528461,9.414613306471635,33.72120184930655,-39.984661874117684,1687.7629,-1661.6861,-616.0709,-92.14928300000001,-61.9306,-132.70423
41,20200714164524,0.8,0.6,0.7,1.5708,1.5708,1.39626,-122.66911802191899,-118.61028500121226,-69.47113265961231,8.17318565176168,22.63653116158759,-0.11858965852058752,1686.0517,-1663.9107999999999,-616.32581,-91.799467,-51.277153999999996,-92.185088
42,20200714164528,0.8,0.6,0.7,1.5708,1.5708,1.43117,-122.84558902281928,-117.99034466688069,-70.38442738505084,8.264457828526021,24.806837993763633,0.05624056314178989,1686.4942,-1663.5788,-616.22938,-91.972828,-53.30091,-92.38312699999999
43,20200714164533,0.8,0.6,0.7,1.5708,1.5708,1.4660799999999998,-123.05529157583717,-117.47296377787755,-71.18198463587295,8.76579589926549,27.010662856954834,-0.16112776410448523,1686.7577,-1663.1020999999998,-616.26198,-91.86740300000001,-55.302983999999995,-92.367472
44,20200714164537,0.8,0.6,0.7,1.5708,1.5708,1.50098,-123.27358849578202,-116.96016655123546,-71.961780195046,9.029872147041287,29.16080157474228,-0.16590909690485195,1686.9942,-1662.7395,-616.38115,-91.91976000000001,-57.243699,-92.451156
45,20200714164542,0.8,0.6,0.7,1.5708,1.5708,1.53589,-123.5205333054834,-116.37002002225071,-72.81033068963475,9.08476150381482,31.499156928230192,0.07269860391958424,1687.3736000000001,-1662.3381,-616.2761200000002,-92.174885,-59.349986,-92.634889
46,20200714164550,0.8,0.6,0.7,1.5708,1.5708,1.6057,-124.0470815192086,-115.40286726406988,-74.2163691188858,9.534017710976897,35.948632573657136,-0.01162863681841616,1688.0544,-1661.3418,-616.04511,-92.337907,-63.267074,-92.938448
47,20200714164555,0.8,0.6,0.7,1.5708,1.5708,1.64061,-124.36392717991598,-114.9381984922188,-74.90621030422331,9.748647701032905,38.325089620521254,0.06720565753766504,1688.2629,-1660.6228999999998,-616.1376200000001,-92.460802,-65.308475,-93.006163
48,20200714164559,0.8,0.6,0.7,1.5708,1.5708,1.67552,-124.66243819117912,-114.55832747404706,-75.5026593689545,10.134133705596923,40.585866488548454,-0.15287717185460137,1688.5774000000001,-1660.0856999999999,-616.2299200000002,-92.31754500000001,-67.230985,-93.01972500000001
49,20200714164604,0.8,0.6,0.7,1.5708,1.5708,1.71042,-124.98615934542805,-114.1016801113278,-76.11056758958829,10.129320860117824,42.88984437432852,-0.02670968812717261,1688.8882,-1659.5145,-616.13165,-92.73543500000001,-69.20144900000001,-93.428571
50,20200714164626,0.8,0.6,0.6,1.0472,1.5708,1.5708,-129.58242677796753,-113.96015953593047,-86.76185300107029,20.759406833179987,69.53301210148645,-0.11858965852058752,1690.5348000000001,-1652.2545,-715.99994,-148.43385,-90.88993399999998,-149.48791
51,20200714164636,0.8,0.6,0.6,1.22173,1.5708,1.5708,-127.29059559744422,-114.73078777038143,-85.5741114917641,20.241682169499775,57.201241476885734,-0.010945613830840707,1690.367,-1655.3718999999999,-716.07132,-94.490056,-81.19814499999998,-95.349784
52,20200714164645,0.8,0.6,0.6,1.39626,1.5708,1.5708,-125.33910134722863,-116.17750620308678,-83.43526004254075,19.561352083561435,45.260285364343765,0.0027465820529406757,1689.7128,-1658.0689,-716.4911900000001,-92.794594,-71.180122,-93.513616
53,20200714164654,0.8,0.6,0.6,1.5708,1.5708,1.5708,-123.7846668490387,-118.18801510620082,-80.37967612110806,18.51215176911787,33.77826844570158,0.04733565308986663,1688.404,-1660.9119999999998,-716.42611,-92.28259800000001,-61.319817,-92.825732
54,20200714164703,0.8,0.6,0.6,1.7453299999999998,1.5708,1.5708,-122.67427464207518,-120.67121419029782,-76.51507579295065,17.04526522202394,22.687409813795206,0.1371575017873921,1686.9505000000001,-1662.8357999999998,-716.0399,-92.124681,-51.304361,-92.49122700000001
55,20200714164719,0.8,0.6,0.6,1.5708,0.8726649999999999,1.5708,-123.78008318667766,-118.21150637580119,-80.35561189371258,18.517652163951126,33.708825960931726,39.91573505136344,1688.2536,-1661.0340999999999,-716.37546,-92.184747,-60.64587100000001,-52.909293
56,20200714164725,0.8,0.6,0.6,1.5708,1.0472,1.5708,-123.79498008935104,-118.18285848604464,-80.38483274126423,18.438755875561615,33.78033109376405,30.102113936362702,1688.2432000000001,-1660.9206,-716.38593,-92.301253,-60.853272999999994,-62.849833
57,20200714164732,0.8,0.6,0.6,1.5708,1.22173,1.5708,-123.78180206006306,-118.18801510620082,-80.37394654315675,18.4518193132906,33.72601469478565,20.12296531434867,1688.3268,-1660.9796999999999,-716.4198700000001,-92.306583,-60.974308,-72.88495
58,20200714164739,0.8,0.6,0.6,1.5708,1.39626,1.5708,-123.78237501785819,-118.23843539217233,-80.33727724426838,18.639692174313993,33.70951351028588,9.877849683834905,1688.2901,-1660.9336999999998,-716.5403200000001,-92.13426000000001,-61.11935,-82.865086
59,20200714164752,0.8,0.6,0.6,1.5708,1.7453299999999998,1.5708,-123.77378065093123,-118.22010074272815,-80.35217414694178,18.57248422494515,33.671068042232605,-10.047960853209247,1688.4674,-1660.8464999999999,-716.52614,-92.230091,-61.408170000000005,-102.87610000000001
60,20200714164759,0.8,0.6,0.6,1.5708,1.91986,1.5708,-123.7846668490387,-118.20634975564502,-80.35790372489308,18.509401571701243,33.70470066480678,-20.021036122594897,1688.4233000000002,-1660.6876,-716.46646,-92.29581800000001,-61.584711,-113.01553000000001
61,20200714164806,0.8,0.6,0.6,1.5708,2.0944,1.5708,-123.7863857224241,-118.19947426210344,-80.37280062756649,18.51215176911787,33.7267022441398,-29.97715184124467,1688.469,-1660.6707,-716.55762,-92.31070700000001,-61.76062,-122.94346
62,20200714164813,0.8,0.6,0.6,1.5708,2.26893,1.5708,-123.78581276462897,-118.19317172635701,-80.38139499449346,18.519027262659442,33.73976568186879,-39.95383674473965,1688.5593000000001,-1660.6242,-716.4708799999999,-92.286882,-61.9341,-132.91101999999998
63,20200714164828,0.8,0.6,0.6,1.5708,1.5708,1.39626,-122.66682619073848,-120.71418602493263,-76.4583529712327,17.04664032073225,22.572589071650988,0.07681874342436999,1686.8969,-1662.8687,-716.01719,-91.932203,-51.205194,-92.3188
64,20200714164832,0.8,0.6,0.6,1.5708,1.5708,1.43117,-122.84845381179494,-120.19623217813437,-77.28627698519675,17.410067450183732,24.752521594785232,0.0013732938912593136,1687.2125,-1662.4532,-716.3639000000001,-91.969409,-53.226040999999995,-92.45944899999999
65,20200714164837,0.8,0.6,0.6,1.5708,1.5708,1.4660799999999998,-123.05758340701769,-119.71838537699526,-78.05862409303309,17.89559188577759,26.944715414735278,-0.15151066751321438,1687.5364,-1662.0078999999998,-716.42754,-91.89440300000001,-55.224561,-92.425191
66,20200714164841,0.8,0.6,0.6,1.5708,1.5708,1.50098,-123.27989103152845,-119.1580326533573,-78.8968613473095,17.989556964179048,29.243307497241112,0.023324481586201172,1687.8087,-1661.6981999999998,-716.3375599999998,-92.11252400000001,-57.312397,-92.623163
67,20200714164845,0.8,0.6,0.6,1.5708,1.5708,1.53589,-123.51594964312234,-118.71914698228711,-79.61248563342788,18.420936888133046,31.40565021606484,-0.1768646229055484,1688.1221,-1661.2784,-716.5491000000001,-92.04151300000001,-59.249553,-92.684788
68,20200714164854,0.8,0.6,0.6,1.5708,1.5708,1.6057,-124.05854067511125,-117.75829675985271,-81.03972350109876,18.706212574328685,35.956883165907016,-0.012994682793567072,1688.6729,-1660.2533999999998,-716.4966400000001,-92.425888,-63.253293000000006,-93.081337
69,20200714164859,0.8,0.6,0.6,1.5708,1.5708,1.64061,-124.35991647535005,-117.32284883555329,-81.70779229022132,18.969543976970808,38.336090410187765,-0.03356719079397538,1688.9558,-1659.7661999999998,-716.5126700000001,-92.510045,-65.306543,-93.190721
70,20200714164903,0.8,0.6,0.6,1.5708,1.5708,1.67552,-124.66243819117912,-116.9217783789617,-82.31340867967458,19.148535992169677,40.629182097860344,0.004806520025040671,1689.2406,-1659.2239,-716.56542,-92.690161,-67.252983,-93.37596900000001
71,20200714164907,0.8,0.6,0.6,1.5708,1.5708,1.71042,-125.00506695266736,-116.53560482504352,-82.89610675732263,19.359097981880257,42.9970447777975,0.006179808186722033,1689.4315000000001,-1658.5637,-716.4965900000002,-92.818448,-69.27197500000001,-93.52035599999999
72,20200714164938,0.8,0.6,0.5,1.22173,1.5708,1.5708,-127.29632517539552,-118.68419655678412,-90.58921107254419,29.281638373735365,57.21218497077274,-0.0706141834608983,1690.9799,-1654.4512,-815.65047,-93.95597199999999,-81.20401500000001,-94.830911
73,20200714164947,0.8,0.6,0.5,1.39626,1.5708,1.5708,-125.33050698030166,-120.0071561057412,-88.45952694804292,28.419680666740554,45.245159278552315,-0.007530498892963437,1690.4544,-1657.1956,-815.77872,-92.6491,-71.16895600000001,-93.349495
74,20200714164956,0.8,0.6,0.5,1.5708,1.5708,1.5708,-123.7921153003754,-121.87213372889201,-85.43717457872783,27.251935384484423,33.78858168601394,-0.0034050767173065795,1689.2154,-1659.8204999999998,-815.6985,-92.208483,-61.318916,-92.774046
75,20200714165005,0.8,0.6,0.5,1.7453299999999998,1.5708,1.5708,-122.66281548617256,-124.21839589995275,-81.57715791293147,25.7193878740685,22.591152904213228,0.00755307343009159,1687.9125000000001,-1661.8487,-815.50584,-92.047263,-51.195293,-92.464482
76,20200714165020,0.8,0.6,0.5,1.5708,0.8726649999999999,1.5708,-123.7846668490387,-121.86869598212122,-85.43717457872783,27.20604146509445,33.72601469478565,39.974692408482404,1689.2026,-1659.9388,-815.57252,-92.164665,-60.639519,-52.831471
77,20200714165027,0.8,0.6,0.5,1.5708,1.0472,1.5708,-123.7863857224241,-121.91109485896091,-85.40337006881512,27.362344351606133,33.71363880641082,29.89017684794381,1689.1733000000002,-1659.8858,-815.65933,-92.02992,-60.787923,-62.655873
78,20200714165034,0.8,0.6,0.5,1.5708,1.22173,1.5708,-123.7995637517121,-121.8492154170868,-85.4606658483282,27.21629740962729,33.814078307897255,20.033125532072155,1689.2394,-1659.7847,-815.63162,-92.2232,-61.033951,-72.858394
79,20200714165041,0.8,0.6,0.5,1.5708,1.39626,1.5708,-123.78122910226791,-121.8864576737703,-85.42055880266904,27.24649228543068,33.70676331286925,9.975940058361301,1689.2189,-1659.8555,-815.71942,-92.196741,-61.10170200000001,-82.877763
80,20200714165054,0.8,0.6,0.5,1.5708,1.7453299999999998,1.5708,-123.777218397702,-121.88989542054108,-85.41196443574208,27.24442963736821,33.66763029546182,-9.927983490908852,1689.3021,-1659.7811,-815.7285,-92.21888100000001,-61.388042000000006,-102.74544
81,20200714165101,0.8,0.6,0.5,1.5708,1.91986,1.5708,-123.78925051139976,-121.86755006653098,-85.43832049431809,27.214922310918976,33.762454810555965,-19.967521864529676,1689.3111000000001,-1659.7197999999999,-815.66519,-92.253112,-61.639086999999996,-112.89596
82,20200714165108,0.8,0.6,0.5,1.5708,2.0944,1.5708,-123.79039642699003,-121.86525823535044,-85.4514985236061,27.236179045118323,33.77276805086832,-29.898312848634667,1689.4141,-1659.6264999999999,-815.71461,-92.252189,-61.790325,-122.7793
83,20200714165115,0.8,0.6,0.5,1.5708,2.26893,1.5708,-123.78982346919489,-121.89619795628752,-85.43259091636679,27.40898311612979,33.81545340660557,-40.075246501527864,1689.4282,-1659.6671999999999,-815.71483,-92.06753900000001,-61.994893,-132.6839
84,20200714165130,0.8,0.6,0.5,1.5708,1.5708,1.39626,-122.66396140176282,-124.2659513969486,-81.51928917562326,25.910698481862685,22.56983887423436,-0.22350109559801692,1687.8889000000001,-1661.8309,-815.46302,-91.755161,-51.195419,-92.214037
85,20200714165134,0.8,0.6,0.5,1.5708,1.5708,1.43117,-122.84902676959007,-123.7067445889009,-82.41711404059326,25.990912573181003,24.757334440264334,0.013046248995128846,1688.3020000000001,-1661.3908,-815.54235,-91.968151,-53.226482,-92.450238
86,20200714165139,0.8,0.6,0.5,1.5708,1.5708,1.4660799999999998,-123.05758340701769,-123.27015074901124,-83.15966734308282,26.504569236515778,26.95227845763101,-0.15424310323819326,1688.4862,-1660.9380999999998,-815.64705,-91.88114300000001,-55.224451,-92.42045
87,20200714165143,0.8,0.6,0.5,1.5708,1.5708,1.50098,-123.27129666460151,-122.77282338283769,-83.95837050949518,26.638240290119796,29.15736382797149,-0.025343642152021704,1688.7891,-1660.6441,-815.6923,-92.085701,-57.216788,-92.636889
88,20200714165147,0.8,0.6,0.5,1.5708,1.5708,1.53589,-123.51709555871261,-122.30471686421579,-84.73472832189745,26.950273105348046,31.47308734855174,0.06445889786780788,1689.1052,-1660.2899,-815.7045400000002,-92.151289,-59.298998,-92.63397099999999
89,20200714165156,0.8,0.6,0.5,1.5708,1.5708,1.6057,-124.04765447700377,-121.48939792174463,-86.08117914045488,27.549586959054892,35.933506487865685,-0.07952081238620697,1689.6036000000001,-1659.3022999999998,-815.80611,-92.25270900000001,-63.227441,-92.895202
90,20200714165201,0.8,0.6,0.5,1.5708,1.5708,1.64061,-124.35475985519386,-121.08431676058713,-86.74638314060178,27.817673911396604,38.27764871508442,-0.07952081238620697,1689.8511,-1658.6755999999998,-815.8294,-92.337925,-65.24456,-93.001503
91,20200714165205,0.8,0.6,0.5,1.5708,1.5708,1.67552,-124.66931368472072,-120.6803815150199,-87.37663671524567,27.967846149500385,40.66149691750572,0.050768873494070034,1690.1055000000001,-1658.1518999999998,-815.76374,-92.575327,-67.26889100000001,-93.17903100000001
92,20200714165209,0.8,0.6,0.5,1.5708,1.5708,1.71042,-124.98501342983778,-120.36983839005899,-87.91006042251246,28.34152922348471,42.893969670453465,-0.12957211353765513,1690.3551,-1657.5965999999999,-815.81918,-92.45063400000001,-69.19145900000001,-93.18533
93,20200714165240,0.8,0.6,0.4,1.22173,1.5708,1.5708,-127.30090883775658,-123.85628657343007,-94.00690432049956,37.85394642558518,57.26100097491788,-0.10353576541132029,1691.9221,-1653.4544999999998,-914.9569799999999,-93.94268799999999,-81.224603,-94.857695
94,20200714165249,0.8,0.6,0.4,1.39626,1.5708,1.5708,-125.3402472628189,-125.05090357627782,-91.86404216671028,36.83918087462898,45.28022429561432,0.0,1691.2628,-1656.1698,-914.69574,-92.626393,-71.18456300000001,-93.330628
95,20200714165258,0.8,0.6,0.4,1.5708,1.5708,1.5708,-123.77893727108741,-126.7588907635628,-88.82564697913152,35.49937636649506,33.71088860899419,-0.0006730019557386162,1690.0711000000001,-1658.8729999999998,-914.61969,-92.19072700000001,-61.234598999999996,-92.758217
96,20200714165307,0.8,0.6,0.4,1.7453299999999998,1.5708,1.5708,-122.66797210632875,-128.9412870052161,-84.95531707302281,34.00326897184945,22.63928135900422,-0.19609824313029503,1688.5107,-1660.9882,-915.14731,-91.93927099999999,-51.237798,-92.43894900000001
97,20200714165323,0.8,0.6,0.4,1.5708,0.8726649999999999,1.5708,-123.78810459580949,-126.75201527002123,-88.85544078447833,35.47743208294154,33.75282911959777,39.98701100107772,1689.9867000000002,-1658.9566,-914.6816,-92.152871,-60.658718,-52.821404
98,20200714165329,0.8,0.6,0.4,1.5708,1.0472,1.5708,-123.77549952431663,-126.76404738371899,-88.83309543046822,35.485682675191434,33.71157615834835,30.080112357029684,1689.9834,-1659.0355,-914.67766,-92.159751,-60.77904000000001,-62.686509
99,20200714165336,0.8,0.6,0.4,1.5708,1.22173,1.5708,-123.78982346919489,-126.79899780922197,-88.79241542701394,35.670805338798196,33.752141570243616,19.868572053310583,1689.9551000000001,-1658.9241,-914.5699099999999,-91.974472,-60.975814,-72.644546
100,20200714165343,0.8,0.6,0.4,1.5708,1.39626,1.5708,-123.77779135549714,-126.77206879285082,-88.81189599204839,35.501439014557526,33.685506578669894,10.010890483864282,1690.0007,-1658.9412,-914.6654199999999,-92.17888900000001,-61.077732999999995,-82.816096
101,20200714165357,0.8,0.6,0.4,1.5708,1.7453299999999998,1.5708,-123.77951022888251,-126.77837132859725,-88.81934444338508,35.5556408219769,33.677255986420015,-10.033579612551463,1690.1586,-1658.7464,-914.79597,-92.15764300000001,-61.38568,-102.77558
102,20200714165403,0.8,0.6,0.4,1.5708,1.91986,1.5708,-123.79612600494131,-126.79269527347554,-88.81304190763863,35.69206207299755,33.810583265346956,-20.031979616481895,1690.0803,-1658.7226999999998,-914.72735,-92.02890400000001,-61.669986,-112.61868000000001
103,20200714165410,0.8,0.6,0.4,1.5708,2.0944,1.5708,-123.7623214950286,-126.7995707670171,-88.79528021598959,35.63379226523275,33.673130690295075,-30.00734671704807,1690.1725000000001,-1658.7431,-914.71155,-92.075021,-61.711482000000004,-122.62558
