,x_t,y_t,z_t,x_m,y_m,z_m,j1_t,j2_t,j3_t,j4_t,j5_t,j6_t
0,-0.4802696390248737,0.0157332339249789,0.0271075119179815,-0.504068846,-0.0081535309999999,0.025721936,-0.4258405087823478,-1.0554674867284422,2.089984504612233,-1.0338477150304,0.4268755518995348,1.5359171940676903
1,-0.4456009513524299,0.0927724412075438,0.0338719011403672,-0.469689749,0.068761674,0.03263028,-0.6346847502876898,-1.0905750491846722,2.126888655710701,-1.0350322586041432,0.218031402936107,1.535275410591491
2,-0.4690769448638053,0.1300478016802403,0.1134722684336664,-0.493443693,0.106350427,0.111604686,-0.6716707883326132,-1.1966472029378628,1.979342913777817,-0.7811563826154844,0.1810453987220937,1.5350122521872187
3,-0.494827057982814,0.1240973215010218,0.2187426325756917,-0.519685507,0.100894791,0.216369373,-0.6259703782360733,-1.3087334388605842,1.8034492349748064,-0.4934828411969052,0.2267457676714581,1.5353250261430862
4,-0.4846083333899624,0.0764394172828075,0.2456407896752311,-0.509391752,0.053291616,0.24321162,-0.549010146351883,-1.395790796883161,1.8365772589462104,-0.4398596634612226,0.3037059560304493,1.5356420391101535
5,-0.5123739464155267,0.0474421735451564,0.2638505936193452,-0.537287186,0.024545461,0.261407981,-0.460508155283668,-1.369329080326201,1.7535768915632517,-0.3835226797218132,0.3922079174295128,1.5358563522684
6,-0.482721378806716,0.0140413269180219,0.2772255721457913,-0.507524104,-0.0088290249999999,0.2748255009999999,-0.4196376556470245,-1.463306901411145,1.8277458961567952,-0.3637785504180666,0.4330784072857496,1.5359269517879914
7,-0.4657836816321303,-0.0498073765595594,0.3005069968516221,-0.490590345,-0.072611877,0.298126157,-0.2844416385515496,-1.5355106099367293,1.842982945346504,-0.3069573243477705,0.5682744014285719,1.5360923546685852
8,-0.4266195750631771,-0.0360624904078365,0.3078487212544333,-0.45142611,-0.05867554,0.305583856,-0.3531689218928004,-1.6363753940472447,1.9225441906472944,-0.2855894504233038,0.4995471798736264,1.5360176153579277
9,-0.4686301304369643,-0.077380903273087,0.3339285518094133,-0.493678166,-0.099943076,0.331540366,-0.2142206764070229,-1.5481291634525955,1.7677318434375326,-0.2191376240585119,0.6384953551432249,1.5361529850635298
10,-0.4229356801519466,0.0084823524159227,0.3546894572035683,-0.448036115,-0.01405554,0.352324147,-0.4743334361907463,-1.6587880013071374,1.8204929021569736,-0.1609545464623929,0.3783826399751242,1.5358291344960628
11,-0.4820786971747198,0.0466117113109278,0.3916182138017249,-0.507657547,0.024124036,0.388916961,-0.4908219485763774,-1.5077996125115267,1.576751525910035,-0.068169055888668,0.3618941325118592,1.5357942720464717
12,-0.5682782954888482,0.0343816907920451,0.346492188967997,-0.593820074,0.0117495,0.3436810449999999,-0.3870975788988176,-1.298548473973761,1.445258595518359,-0.1460927945550754,0.4656184773539022,1.53597481478584
13,-0.5941208960146851,-0.0439483434032353,0.3377999631273161,-0.619580461,-0.066724664,0.335007887,-0.2257073286299369,-1.2515837917146304,1.4057087240692263,-0.1536525362485616,0.6270087042399966,1.5361438828537697
14,-0.6338962394307041,-0.1255770875795189,0.3547192099581606,-0.659489999,-0.148235938,0.351876816,-0.0662785907367582,-1.1472727096093318,1.2167147786351291,-0.0690505017799814,0.7864374273816304,1.5362498299002914
