x_t,y_t,z_t,x_m,y_m,z_m,j1_target,j2_target,j3_target,j4_target,j5_target,j6_target
-0.46794878161284054,-0.2542971163538476,0.3621585714887741,-0.4680232673298604,-0.25429656946924367,0.36206618241844374,0.3014688681683743,-1.430975810160826,1.5430449208976391,0.0012452386741506,1.63110607282069,-0.002120405055229
-0.4691630262853166,-0.2991352218428737,0.39424664488936606,-0.4691294873992311,-0.299223860391313,0.3941027446318985,0.4096356322142478,-1.3452472969874454,1.3454946392160947,0.1961034949872435,1.8232764701395103,-0.0501339258434101
-0.35252074389541826,-0.38569324654200143,0.32822641823333387,-0.35251742648370354,-0.3856164280385187,0.32803474609671346,0.6965158047313729,-1.3699408013214822,1.538633328878766,0.1086455098054983,2.051058211969776,0.3034971840522256
-0.25259976078647073,-0.3658344622145833,0.26356898989901006,-0.2526730979359745,-0.3656549848554268,0.26335701731270683,0.8318050731068656,-1.5546412459318006,1.9830120623337937,-0.5206354560339799,2.1987780981528298,0.0614911723712734
-0.3855405507080748,-0.3621509260334923,0.16132879589648055,-0.38553879270240066,-0.36188729354585264,0.16103413478443482,0.621191550492858,-1.2498360033572182,1.9230827521048093,-0.7696115346183872,2.0612705727916127,0.0913562410060007
-0.45038752984679287,-0.28566107479693037,0.010749401626539357,-0.4502382737901489,-0.2854993528609447,0.01046491911469874,0.4098937845667798,-0.9698546181655244,1.950965385939708,-0.8630672327216562,1.9029541237243528,0.1287519874930733
-0.45671310644147456,-0.27283370122848716,-0.02706108633384093,-0.4566736767547454,-0.2726625248999829,-0.027207426547207834,0.3653427870239354,-0.8851159344078714,2.009958917192103,-1.159678044277079,1.7972000628886278,0.1386860279032942
-0.48237583474259754,-0.3150144043669457,-0.0952153769411787,-0.4823737866644764,-0.31477607145850633,-0.09544367843714395,0.4055527384244013,-0.6976833014410864,1.817337848631516,-0.9886708649706692,1.7063123530783375,0.1773888020093283
-0.5402989256773939,-0.3191509487713706,0.018805734522804363,-0.540210534063962,-0.31895013341504,0.018643586238507058,0.389889299600644,-0.8487186131624234,1.7266658666802446,-0.9584354993907152,1.8171346502010408,-0.0023617115758205
-0.5969968831942116,-0.2174757609727349,0.011338307952930353,-0.5970347464578764,-0.21717129697304743,0.011336556003277737,0.1518215379702008,-0.8356988330751554,1.6873729067695988,-0.8141049669940941,1.4036751363055169,-0.0347363282403443
-0.6021183059146491,-0.19558717275061613,0.1912862547110193,-0.6020746281407664,-0.1954444320267252,0.19114904873192679,0.146517845025401,-1.1150486129691035,1.6635738654861578,-0.7590929758812717,1.625917579231941,0.1117885742161783
-0.5148642884133181,-0.07690668993755609,0.17870851845109142,-0.5148520990607053,-0.0768162315900789,0.17873762989532094,-0.1114816660516351,-1.333220883739452,1.997188200643759,-0.8145095795814647,1.2900772153771047,0.0905668437362967
-0.4376212342665425,-0.18358761895587863,0.2076162308106323,-0.43756625661287146,-0.18352616526167717,0.2074453983941684,0.1588315829054623,-1.464742891899383,2.028493945489464,-0.5661065739076037,1.5430420804605776,0.077481413862062
-0.35957495046085625,-0.1983161762441883,0.2490031046449974,-0.35956911745074205,-0.1981656923120522,0.2488190646677555,0.2231709440472205,-1.6800382400539096,2.132047557888578,-0.4927717574872128,1.5211843315348448,0.0081393928065955
-0.48254294466512265,-0.04233490460817707,0.3657573656779177,-0.48263885628682934,-0.04237705869106835,0.36580658961484136,-0.2341708160487394,-1.5577775056254006,1.678270962761056,-0.041804569961505,1.023851509440357,-0.2041748136244954
-0.5423953809627161,-0.04608591262840145,0.3162820213146264,-0.5424007290673658,-0.04614448360448446,0.31625683678880434,-0.1826610633834735,-1.4395488247717183,1.7404706172259168,-0.5029940634939685,1.1555621435616334,-0.0237507136478987
-0.639719648973495,-0.12069362100093385,0.3999479406631296,-0.6396546284944554,-0.12081017630323751,0.39977206307972074,0.0191585266403082,-1.233337522070818,1.2981051825578458,-0.3727300482927007,1.5832165148084345,0.1432294091528967
-0.4238780653579241,-0.0444556418052231,0.05380843650315632,-0.42386784368738895,-0.04402427292625316,0.053797891396193565,-0.2414411772209339,-1.2500350518286256,2.302552024747425,-1.0097880654224456,1.161177962948039,0.0030781616072657
-0.4681795380269746,-0.002979494092906536,-0.02577302135761244,-0.46814452510641313,-0.0024741962802703847,-0.025926685206260895,-0.3341265116010348,-0.9720181191218558,2.1873182773675026,-1.1604074176566963,1.0072783596817834,-0.0014739535076793
-0.2879986495226468,-0.49030488744667705,0.04068931563333665,-0.28786221669682166,-0.4901493781599688,0.04050383529906335,0.9490256746874852,-0.9388839438190466,1.7802759432767452,-0.7584696623546892,2.327692029596064,-0.1016976462678962
