,x_t,y_t,z_t,x_m,y_m,z_m,j1_t,j2_t,j3_t,j4_t,j5_t,j6_t
33,-0.459626666,-0.385672566,0.066666667,-0.483036466,-0.408585917,0.065190549,0.482537203,-0.987587323,1.791929067,-0.804056692,1.335253192,1.53645984
34,-0.434091851,-0.364246312,0.066666667,-0.457452654,-0.387090502,0.0653201519999999,0.46745273,-1.044031245,1.896025885,-0.851708517,1.32016872,1.536455394
35,-0.408557036,-0.342820058,0.066666667,-0.4319125649999999,-0.365594709,0.065483555,0.450075287,-1.099649618,1.996599986,-0.89666292,1.302791278,1.536450228
36,-0.383022222,-0.321393805,0.066666667,-0.406365046,-0.344186937,0.065681012,0.429832088,-1.154986358,2.094296271,-0.939020793,1.28254808,1.536444144
37,-0.357487407,-0.299967551,0.066666667,-0.380855433,-0.322710621,0.065816726,0.405939129,-1.210630341,2.189661468,-0.978739853,1.258655122,1.536436866
38,-0.331952592,-0.278541298,0.066666667,-0.355229819,-0.301235775,0.065782285,0.377291965,-1.26728737,2.283184696,-1.015603201,1.230007961,1.536427985
39,-0.306417777,-0.257115044,0.066666667,-0.329655437,-0.279847979,0.065884967,0.342279144,-1.325892168,2.375334784,-1.04914459,1.194995144,1.536416876
40,-0.306417777,-0.257115044,0.122222222,-0.3299361739999999,-0.279614983,0.121183327,0.342280069,-1.475860837,2.328415851,-0.852257236,1.194996024,1.536417145
41,-0.331952592,-0.278541298,0.122222222,-0.35549259,-0.301049995,0.121091211,0.377293146,-1.40298004,2.239957207,-0.83668313,1.230009146,1.536428232
42,-0.357487407,-0.299967551,0.122222222,-0.381085007,-0.32257657,0.12100664,0.405940313,-1.334366366,2.149330212,-0.814672638,1.258656308,1.536437069
43,-0.383022222,-0.321393805,0.122222222,-0.406564159,-0.34406488,0.12086224,0.429830782,-1.268552291,2.056244587,-0.787403226,1.282546775,1.536444313
44,-0.408557036,-0.342820058,0.122222222,-0.432136832,-0.365511954,0.1208426379999999,0.450074338,-1.204427736,1.960314787,-0.755599643,1.302790329,1.536450371
45,-0.434091851,-0.364246312,0.122222222,-0.4577326069999999,-0.3870296159999999,0.120771006,0.467452044,-1.141116785,1.861072074,-0.719669199,1.320168034,1.536455517
46,-0.459626666,-0.385672566,0.122222222,-0.4832911219999999,-0.408541696,0.120590482,0.482536718,-1.077847978,1.757911536,-0.679778535,1.335252708,1.536459949
47,-0.485161481,-0.407098819,0.122222222,-0.508912443,-0.429991107,0.120463966,0.495757061,-1.013882828,1.65004873,-0.635881754,1.34847305,1.536463806
48,-0.510696295,-0.428525073,0.122222222,-0.534461281,-0.4514156019999999,0.120263101,0.507440557,-0.948441698,1.536439004,-0.587713886,1.360156545,1.536467197
49,-0.53623111,-0.449951327,0.122222222,-0.56007838,-0.472878055,0.120032552,0.517842823,-0.880608952,1.415631725,-0.534739969,1.370558811,1.536470202
50,-0.53623111,-0.449951327,0.177777778,-0.560411258,-0.472863268,0.1756717539999999,0.517842823,-0.941765433,1.362934388,-0.42088619,1.370558804,1.536470159
51,-0.510696295,-0.428525073,0.177777778,-0.5347914899999999,-0.451342839,0.175752449,0.507440754,-1.014540903,1.484511353,-0.46968701,1.360156743,1.536467106
52,-0.485161481,-0.407098819,0.177777778,-0.509211973,-0.429905657,0.175972183,0.495757457,-1.085046911,1.598142383,-0.512811301,1.348473446,1.53646371
