step_order,x_t,y_t,z_t,x_dif,y_dif,z_dif,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0,-306.417777,-257.115044,-100.0,-22.622743999999955,-23.353734999999972,0.04695999999999856,19.61120405269596,-44.47110246465529,135.18250767320924,-90.69433330079445,68.46823163219878,88.03021345367286
1,-331.952592,-278.541298,-100.0,-22.598179000000016,-23.20331200000004,-0.2061959999999914,21.617304905013178,-44.26938556820282,129.9776951774467,-85.69146545220794,70.47433282829068,88.03086513586902
2,-357.48740699999996,-299.967551,-100.0,-22.645327000000066,-23.201085999999975,-0.42267099999989455,23.258666669119627,-43.588966158144224,124.6776162442426,-81.07196652913241,72.11569430591823,88.03136601557354
3,-383.022222,-321.393805,-100.0,-22.58766399999996,-23.20270800000003,-0.5842250000000035,24.627628712968853,-42.529911256103304,119.25925412764255,-76.71278112540051,73.48465617788013,88.03177831600291
4,-408.557036,-342.82005799999996,-100.0,-22.598864999999932,-23.11315300000001,-0.7966659999999877,25.78736834243252,-41.15546967308457,113.69733479986658,-72.5253982051584,74.644395750048,88.03212386684915
5,-434.09185099999996,-364.246312,-100.0,-22.63882000000001,-23.156653000000006,-0.9828980000000058,26.783034402583812,-39.50478267708769,107.96153114645224,-68.44035694898677,75.64006175290352,88.03241785149383
6,-459.626666,-385.672566,-100.0,-22.67648700000001,-23.188807999999995,-1.1372949999999094,27.647320896536932,-37.599190654150114,102.01612446278904,-64.40060325097055,76.50434818956086,88.03267121343085
7,-485.161481,-407.098819,-100.0,-22.73601100000002,-23.120956000000035,-1.3921749999999946,28.404789722828223,-35.44577616476057,95.8158200860449,-60.35376338283147,77.26181701585215,88.03289191677352
8,-510.696295,-428.52507299999996,-100.0,-22.738564999999937,-23.10926100000006,-1.6245380000000011,29.074204160628405,-33.03809675687905,89.30158921126383,-56.24725368455519,77.93123139635657,88.03308597757874
9,-536.2311100000001,-449.951327,-100.0,-22.81800499999997,-23.066651999999976,-1.788679000000002,29.670208209040112,-30.35441378150472,82.39277198596291,-52.02215461423722,78.52723544476827,88.03325803680461
10,-536.2311100000001,-449.951327,-44.444444,-22.97573,-23.01963399999994,-1.965018999999998,29.670208209040112,-36.11971559404358,83.67600493323678,-47.54008729595829,78.52723533017671,88.03325689088902
11,-510.696295,-428.52507299999996,-44.444444,-23.031259000000034,-23.04030800000004,-1.6030390000000025,29.074213729023587,-39.09043231931213,90.57517824752163,-51.46850589787276,77.93124096475174,88.03308053447968
12,-485.161481,-407.098819,-44.444444,-23.01266300000009,-23.10457200000002,-1.293251000000005,28.40480754181565,-41.82857327153604,97.09757875561613,-55.25272357052852,77.26183483483958,88.03288572882934
13,-459.626666,-385.672566,-44.444444,-22.901233999999988,-23.063897999999995,-1.2392190000000056,27.647347825553304,-44.36141490869343,103.32155545662388,-58.9438082713887,76.50437511857723,88.03266393686685
14,-434.09185099999996,-364.246312,-44.444444,-22.892214999999965,-23.032442000000003,-1.0873070000000027,26.78307238968563,-46.70352806317649,109.30564148971234,-62.58571967162268,75.64009974000534,88.0324090279438
15,-408.557036,-342.82005799999996,-44.444444,-22.867768999999953,-23.013165999999956,-0.9103629999999967,25.787420367000315,-48.85892017369171,115.0958555071835,-66.22046554707919,74.64444771732003,88.03211269417216
16,-383.022222,-321.393805,-44.444444,-22.841138,-23.072355000000016,-0.7066490000000059,24.627574339274094,-50.821093383180276,120.73017240685347,-69.89251326682992,73.48460180418536,88.03176364828336
17,-357.48740699999996,-299.967551,-44.444444,-22.821507000000054,-23.029869999999903,-0.516331000000001,23.258616134242097,-52.571159507672135,126.24168445479985,-73.6538353741049,72.11564371374492,88.03134573286759
18,-331.952592,-278.541298,-44.444444,-22.76300200000003,-23.03896500000002,-0.3812200000000061,21.617270183770792,-54.07328479263156,131.6612256612465,-77.5710872577754,70.47429793516096,88.03083528476792
19,-306.417777,-257.115044,-44.444444,-22.778693999999973,-23.154518999999993,-0.16660099999990052,19.61120405269596,-55.26523421857676,137.0195305136483,-81.73721774100163,68.46823209056502,88.03019557738965
20,-306.417777,-257.115044,11.111111,-22.971006999999986,-22.966443999999967,-0.44291700000009904,19.6112039381044,-65.99679279332575,137.33281678864498,-71.31895214485549,68.46823157490302,88.03021345367286
21,-331.952592,-278.541298,11.111111,-22.98100900000003,-22.888619999999946,-0.6456099999999996,21.617000549832404,-63.68895649516172,131.946906772378,-68.24110474508161,70.47402830122257,88.03085917710796
22,-357.48740699999996,-299.967551,11.111111,-23.02971500000001,-22.917701999999963,-0.7960180000000001,23.25844716898831,-61.289282568185335,126.50616710153975,-65.20020028883908,72.11547469119536,88.03136280700988
23,-383.022222,-321.393805,11.111111,-23.028160000000014,-22.977778,-0.968418999999999,24.627463185461842,-58.800331904557694,120.97823436966381,-62.1613403751927,73.4844906503731,88.03177648253796
24,-408.557036,-342.82005799999996,11.111111,-23.06837999999999,-22.932432000000006,-1.0547189999999986,25.787344908458696,-56.21861043575679,115.33124467488956,-59.09616714562182,74.64437231607418,88.03212277822934
25,-434.09185099999996,-364.246312,11.111111,-23.10591500000004,-22.992772000000002,-1.1991800000000996,26.78302042241361,-53.53594004869379,109.53146237683129,-55.97913069316816,75.64004777273333,88.03241722124027
26,-459.626666,-385.672566,11.111111,-23.102283,-23.03914599999996,-1.4498029999999993,27.64731224487423,-50.739546993100944,103.54053809245794,-52.78466048439284,76.50433959519394,88.03267086965617
