x_t,y_t,z_t,x_m,y_m,z_m,j1_target,j2_target,j3_target,j4_target,j5_target,j6_target
-0.40214412224114987,-0.0035212622371453466,-0.09918558505719234,-0.402290993774386,-0.0026667066925625815,-0.09937717925157305,-0.4002615411776746,-0.7630432156417624,2.3631382261209666,-1.6535305357550765,0.9672053572834018,-0.0969046022442805
-0.43540593304969644,-0.002880446237239015,-0.10003013235506311,-0.43543560383330504,-0.0020597796312698483,-0.10018405942221478,-0.344107522136313,-0.8008327064613745,2.226808633542096,-1.2468972943819294,1.1039917563735973,-0.2213167537076446
-0.46858210545953793,-0.0032595295476098227,-0.09984223233126022,-0.46865105153303976,-0.0024645432242767565,-0.10008127907995532,-0.3393581683994053,-0.7703220360424665,2.147311455625873,-1.2885006439485702,0.9748417650718402,-0.017128831302664
-0.5018769516189898,-0.003834038668813995,-0.09910874256326059,-0.5020500819638555,-0.0030084385089623675,-0.09927764900709966,-0.3182123712286677,-0.6978282738007184,2.1141789081821383,-1.6696188230872997,0.9587550935732674,0.0977586430253993
-0.5354994202121925,-0.002603912377255356,-0.10005773849635088,-0.5355117194593327,-0.0018364647456788705,-0.10028440680108616,-0.257882781399096,-0.7272060148185959,1.960839698503638,-1.1384027969206052,1.2382346102335156,0.0273825982917892
-0.5687017765540341,-0.0023938314115383875,-0.10061753140552374,-0.5686836977263038,-0.001662768812440353,-0.1008313187771634,-0.248426536216229,-0.6988594213463211,1.817236839982764,-0.8832606680533948,1.1953097218637136,0.0306595908976832
-0.6021004654264897,-0.0026843817070669705,-0.10031187839536213,-0.6020958952425265,-0.0019446728291349184,-0.1005624780100234,-0.2389804103608135,-0.659057201864159,1.749880658507811,-0.9928084384358228,1.159845740907703,0.0862641532370398
-0.6352138591653359,-0.003645252172080421,-0.09958116847433843,-0.6353626306681582,-0.002837593117673582,-0.0996256299498438,-0.2388113440547705,-0.5879277413940627,1.723304881747282,-1.434969578935923,1.0540078584915822,0.1283249450828365
-0.6690239411973115,-0.0021635531472610913,-0.10024510933888643,-0.6690346833043443,-0.0015634118914706779,-0.10034473960122245,-0.1884148906651539,-0.5758538615956406,1.5631329731350778,-1.0033463574873864,1.378630969621864,0.119369394007152
-0.7023909377066143,-0.0024893328366710765,-0.09970174888710874,-0.702375782881246,-0.0019453630715373345,-0.09986130996777631,-0.1813014838732645,-0.5176983108694988,1.4928538039899646,-1.194416483734799,1.361906069805424,0.0238744643317714
-0.7020038532042109,-0.00196804398496357,-0.045770947274966285,-0.7020822241240884,-0.0015383087142889149,-0.04585908744740478,-0.2085064679599866,-0.6100019139395516,1.3612724280324162,-0.5139709336308798,1.121449666003457,-0.0448336429150639
-0.6689564685400253,-0.0027682749414422473,-0.04385652033766703,-0.668925069890064,-0.00218442945093332,-0.04398225661820736,-0.197292696739014,-0.6600212902988867,1.6574630359528886,-1.3184805307507366,1.3061525897443875,-0.0539307498797079
-0.6356995351476902,-0.0025460050333175376,-0.04373702697070465,-0.635618082213044,-0.0020512687113791615,-0.043946012537563126,-0.2024950811727741,-0.7061368924501101,1.7614241189321564,-1.3409428207592895,1.3475338135578534,0.0503846580934728
-0.60229508798316,-0.00222067817347935,-0.044324747222597244,-0.6022877570994799,-0.0017100233165928973,-0.044490868461752146,-0.2157222543103087,-0.7696603379887854,1.8220048217810856,-1.123240190176542,1.334311427965555,0.1351669171431364
-0.5688676599968865,-0.0025893681099966536,-0.04443416583660369,-0.5688668684849862,-0.0018656470407109344,-0.04455654463836363,-0.2412400066907629,-0.8124617155513061,1.914530059031209,-1.131746223800873,1.2464185590487071,-0.0409533567638487
-0.5355775740965054,-0.0027406471733138144,-0.04378547589428157,-0.5356095618485007,-0.0020628117411104424,-0.04384641120888878,-0.2461026662737082,-0.823014508509754,2.055689417739858,-1.4499171340925252,1.3154948331118073,0.0295552122382374
-0.501590893757052,-0.0027965676875780394,-0.045036946612353544,-0.501728424851712,-0.00211337370706589,-0.04518712943333525,-0.3183133609841611,-0.8904276806979468,2.032281417051898,-0.9154548789145528,0.9580430300348112,0.0038076864407829
-0.46870297548462536,-0.003303144450598737,-0.043624825439671215,-0.468848711426877,-0.002569821905510984,-0.043658701067583815,-0.3182508031207041,-0.8728201006422949,2.2480651976940536,-1.6143760522839454,1.1062386971452147,0.1791999476161336
-0.43482163590843537,-0.0030388304289599467,-0.04475530713258344,-0.4349974852275496,-0.002423182014153133,-0.04490180231088363,-0.3884069804237411,-0.9537895177592488,2.2285466992452427,-1.0696831171362398,0.8395521681240012,-0.0801183450655007
