step_order,x_t,y_t,z_t,x_dif,y_dif,z_dif,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0,-467.9487816128405,-254.2971163538476,362.1585714887741,-0.07448571701991114,0.0005468846039775599,-0.09238907033039823,17.272893800633657,-81.98887450752903,88.40996156653269,0.07134692051529574,93.45549391078386,-0.12149026052282592
1,-469.16302628531656,-299.1352218428737,394.246644889366,0.0335388860854664,-0.08863854843929175,-0.14390025746752144,23.470392864049625,-77.07699251876265,77.09116418455962,11.235902610533948,104.46604662450441,-2.872462361249245
2,-352.5207438954182,-385.69324654200136,328.2264182333338,0.0033174117147041216,0.07681850348268426,-0.1916721366204115,39.90741597526584,-78.49182609849096,88.15719596291765,6.224929174902254,117.51697908151714,17.389107740297682
3,-252.59976078647068,-365.8344622145833,263.56898989901003,-0.07333714950379999,0.17947735915652174,-0.21197258630326132,47.65892006659429,-89.07438204885204,113.61822189525971,-29.830214295615978,125.98070510995902,3.52318465418542
4,-385.5405507080748,-362.1509260334923,161.3287958964805,0.0017580056742190209,0.26363248763971114,-0.2946611120457021,35.591654112428536,-71.61032807586719,110.1845253500087,-44.095492798220036,118.10210425547315,5.234327041823827
5,-450.3875298467928,-285.66107479693034,10.7494016265393,0.1492560566438783,0.16172193598566764,-0.2844825118405989,23.48518390432108,-55.568576362156534,111.78208259045707,-49.450109870986125,109.0312398964213,7.37694548727426
6,-456.7131064414745,-272.8337012284871,-27.0610863338409,0.039429686729079094,0.1711763285042025,-0.14634021336689784,20.932599772018396,-50.71340742134924,115.16216294979242,-66.44465753106205,102.9719785441645,7.946124076292327
7,-482.3758347425975,-315.0144043669457,-95.21537694117869,0.0020480781211063004,0.23833290843941768,-0.2283014959651979,23.236460281691247,-39.974308609327835,104.12578867597071,-56.64666789036785,97.7644963624251,10.16362968801629
8,-540.2989256773939,-319.1509487713706,18.8057345228043,0.08839161343189517,0.2008153563306223,-0.16214828429730233,22.339011344428595,-48.62799452840322,98.93066679007649,-54.91430905060136,104.11414626350081,-0.13531610572170558
9,-596.9968831942116,-217.47576097273492,11.3383079529303,-0.037863263664803526,0.30446399968749915,-0.001751949652600615,8.69873336487768,-47.88201607921429,96.67934602261975,-46.64477868939878,80.42466111775667,-1.9902450039528217
10,-602.1183059146491,-195.5871727506161,191.2862547110193,0.043677773882677684,0.14274072389090975,-0.13720597909258458,8.394854143307342,-63.887579475046024,95.31576140062097,-43.49282377602286,93.15821512611784,6.405013500371991
11,-514.8642884133181,-76.90668993755601,178.7085184510914,0.012189352612836046,0.09045834747711012,0.02911144422949974,-6.38742895784556,-76.3879297969724,114.43045479021443,-46.667961282992984,73.9159796870978,5.189097909910636
12,-437.6212342665425,-183.5876189558786,207.6162308106323,0.05497765367107377,0.061453694201532016,-0.17083241646389524,9.100379353865222,-83.92358577762162,116.22414184438676,-32.4355174395165,88.40979882147708,4.4393580050025845
13,-359.5749504608562,-198.31617624418828,249.0031046449974,0.0058330101142018975,0.15048393213609756,-0.1840399772418948,12.786753203855977,-96.25910057567567,122.1573267881896,-28.23374196726142,87.15744205837599,0.466352855617064
14,-482.5429446651226,-42.334904608177,365.75736567791773,-0.09591162170670486,-0.04215408289130096,0.049223936923567635,-13.416999444727132,-89.25407649275232,96.15784304556585,-2.3952254231536148,58.66237033903122,-11.698355103553766
15,-542.3953809627161,-46.0859126284014,316.2820213146264,-0.005348104649669949,-0.058570976082997106,-0.02518452582211239,-10.465708013244653,-82.48007206243716,99.72162073357443,-28.819436958339747,66.20883379117213,-1.360815652448359
16,-639.7196489734949,-120.6936210009338,399.9479406631296,0.0650204790395037,-0.11655530230369493,-0.17587758340891924,1.0977027181786125,-70.6650347297809,74.3759483246238,-21.355858664879104,90.7116243539347,8.206440646613425
17,-423.87806535792413,-44.4556418052231,53.8084365031563,0.010221670535258909,0.4313688789700052,-0.010545106962801754,-13.833560455429662,-71.62173271319736,131.92651312732974,-57.85659435138639,66.53059654052092,0.17636566875553064
18,-468.17953802697457,-2.9794940929064997,-25.7730213576124,0.03501292056148486,0.5052978126361993,-0.153663848648403,-19.144038938168233,-55.69253583592683,125.32410574498347,-66.4864475474033,57.71279880462669,-0.08445131518852746
19,-287.9986495226468,-490.304887446677,40.689315633336605,0.13643282582523852,0.15550928670825215,-0.1854803342733078,54.37516580914834,-53.79408743342927,102.00229791842905,-43.45711054163627,133.36692930209517,-5.826845917564819
