step_order,x_t,y_t,z_t,x_dif,y_dif,z_dif,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0,-325.4870486100309,-278.9410737441813,-100.99363266299879,-3.553472389969045,-1.5277052558186597,1.0405926629987903,19.61120405269596,-44.47110246465529,135.18250767320924,-90.69433330079445,68.46823163219878,88.03021345367286
1,-351.0218636100309,-300.3673277441813,-100.99363266299879,-3.528907389969106,-1.3772822558187272,0.7874366629988003,21.617304905013178,-44.26938556820282,129.9776951774467,-85.69146545220794,70.47433282829068,88.03086513586902
2,-376.5566786100309,-321.79358074418127,-100.99363266299879,-3.576055389969156,-1.3750562558187198,0.5709616629988972,23.258666669119627,-43.588966158144224,124.6776162442426,-81.07196652913241,72.11569430591823,88.03136601557354
3,-402.09149361003097,-343.2198347441813,-100.99363266299879,-3.5183923899689944,-1.3766782558187174,0.40940766299878817,24.627628712968853,-42.529911256103304,119.25925412764255,-76.71278112540051,73.48465617788013,88.03177831600291
4,-427.6263076100309,-364.6460877441813,-100.99363266299879,-3.5295933899690226,-1.287123255818699,0.19696666299880405,25.78736834243252,-41.15546967308457,113.69733479986658,-72.5253982051584,74.644395750048,88.03212386684915
5,-453.1611226100309,-386.0723417441813,-100.99363266299879,-3.5695483899691,-1.3306232558186935,0.010734662998785893,26.783034402583812,-39.50478267708769,107.96153114645224,-68.44035694898677,75.64006175290352,88.03241785149383
6,-478.69593761003097,-407.4985957441813,-100.99363266299879,-3.607215389969042,-1.3627782558187391,-0.14366233700111763,27.647320896536932,-37.599190654150114,102.01612446278904,-64.40060325097055,76.50434818956086,88.03267121343085
7,-504.230752610031,-428.9248487441813,-100.99363266299879,-3.6667393899689955,-1.294926255818723,-0.3985423370012029,28.404789722828223,-35.44577616476057,95.8158200860449,-60.35376338283147,77.26181701585215,88.03289191677352
8,-529.7655666100311,-450.3511027441813,-100.99363266299879,-3.669293389968857,-1.2832312558187482,-0.6309053370012094,29.074204160628405,-33.03809675687905,89.30158921126383,-56.24725368455519,77.93123139635657,88.03308597757874
9,-555.3003816100311,-471.7773567441813,-100.99363266299879,-3.7487333899689474,-1.2406222558186641,-0.7950463370012102,29.670208209040112,-30.35441378150472,82.39277198596291,-52.02215461423722,78.52723544476827,88.03325803680461
10,-555.3003816100311,-471.7773567441813,-45.4380766629988,-3.906458389968975,-1.1936042558186273,-0.9713863370011921,29.670208209040112,-36.11971559404358,83.67600493323678,-47.54008729595829,78.52723533017671,88.03325689088902
