step_order,x_t,y_t,z_t,x_dif,y_dif,z_dif,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0,-402.14412224114983,-3.5212622371453004,-99.1855850571923,-0.1468715332361512,0.8545555445828006,-0.19159419438069847,-22.933297010882566,-43.71915584236375,135.39784676276338,-94.74032099477175,55.416784894781806,-5.552224723991238
1,-435.4059330496964,-2.880446237239,-100.0301323550631,-0.02967078360859432,0.8206666059691998,-0.15392706715159932,-19.715908717115287,-45.88433417627589,127.58673648525605,-71.44195245436593,63.25406825744212,-12.680515922984348
2,-468.5821054595379,-3.2595295476098003,-99.8422323312602,-0.06894607350182014,0.7949863233331,-0.23904674869510245,-19.443790792575786,-44.136201531157816,123.03188370745586,-73.82564879814187,55.85431883170015,-0.9814097416342191
3,-501.87695161898984,-3.8340386688139003,-99.10874256326049,-0.17313034486562628,0.8256001598516005,-0.1689064438391057,-18.232225860252846,-39.982614913680806,121.1335285744129,-95.66211195850192,54.93262044841854,5.601157656281401
4,-535.4994202121925,-2.6039123772552997,-100.0577384963508,-0.012299247140276748,0.7674476315764995,-0.22666830473531263,-14.77559498326301,-41.66583548563355,112.34783902596327,-65.22567564943922,70.94561721340693,1.5689073142216587
5,-568.701776554034,-2.3938314115383,-100.61753140552369,0.018078827730278135,0.731062599098,-0.21378737163971095,-14.233792044243819,-40.04169531609911,104.12000130670292,-50.6071084893651,68.4862022737471,1.7566651600349623
6,-602.1004654264897,-2.6843817070669,-100.3118783953621,0.004570183963210184,0.7397088779319998,-0.2505996146612972,-13.692568899979104,-37.76119612451784,100.26077638407085,-56.88373338734647,66.45426584023535,4.942571903752179
7,-635.2138591653359,-3.6452521720804003,-99.5811684743384,-0.14877150282234197,0.8076590544069004,-0.04446147550540047,-13.682882114184974,-33.685778240538696,98.73809653841067,-82.21770060269321,60.390201865189766,7.352477759494598
8,-669.0239411973115,-2.163553147261,-100.24510933888641,-0.010742107032797321,0.6001412557904,-0.09963026233599237,-10.79537803253217,-32.993995885740844,89.56092217837626,-57.48751167385157,78.98973606536121,6.8393624796440315
9,-702.3909377066143,-2.489332836671,-99.70174888710869,0.01515482536831314,0.5439697651337001,-0.15956108066760066,-10.387809845397213,-29.661928273873954,85.53422239867523,-68.43502349886012,78.03146989310007,1.3679060443461224
10,-702.0038532042108,-1.9680439849635,-45.770947274966204,-0.07837091987755684,0.42973527067460027,-0.08814017243850003,-11.946540615286956,-34.95053516363877,77.99516489378354,-29.448365289447956,64.25433279835389,-2.5687785192297667
11,-668.9564685400253,-2.7682749414422,-43.856520337667,0.03139864996137476,0.5838454905088999,-0.12573628054030195,-11.304038851899962,-37.81643432290511,94.96563665904074,-75.54336978218596,74.8370307924359,-3.0900043540829345
12,-635.6995351476902,-2.5460050333175,-43.7370269707046,0.08145293464622227,0.4947363219384,-0.20898556685850167,-11.602113523358971,-40.458663695874634,100.92216794736213,-76.83036419787491,77.20800026803376,2.886828260965656
13,-602.29508798316,-2.2206781734793,-44.3247472225972,0.007330883680083389,0.5106548568865004,-0.16612123915489718,-12.35997471902852,-44.098289025369866,104.39318654054193,-64.35692227658781,76.45041337850047,7.74449388209621
14,-568.8676599968865,-2.5893681099965997,-44.4341658366036,0.0007915119001609128,0.7237210692856997,-0.12237880176000715,-13.822034233088456,-46.55062731704824,109.69449213342064,-64.84428210365834,71.4145229402685,-2.346454499462074
15,-535.5775740965054,-2.7406471733138003,-43.785475894281504,-0.03198775199530246,0.6778354322034001,-0.06093531460719248,-14.100644104400066,-47.15525781564268,117.78232762619947,-83.07413242720554,75.37230190857314,1.6933889238644024
16,-501.590893757052,-2.796567687578,-45.0369466123535,-0.1375310946599484,0.6831939805122,-0.15018282098169777,-18.238012147016676,-51.017748065614825,116.44114797994006,-52.45170089646369,54.89182221291985,0.21816436276605022
17,-468.7029754846253,-3.3031444505986998,-43.6248254396712,-0.14573594225169018,0.7333225450877996,-0.03387562791260024,-18.234427845465234,-50.00890804098725,128.8046478981123,-92.4969343428612,63.382808480471674,10.267400687369893
18,-434.8216359084353,-3.0388304289599,-44.7553071325834,-0.17584931911426338,0.6156484148067998,-0.14649517830020642,-22.25408071170075,-54.64811391142304,127.6863203145628,-61.288328028304605,48.102795914562996,-4.590443033825975
19,-402.2050742533737,-3.4243019698784,-42.860782128341306,-0.14419489700378563,0.7179598497288002,-0.11730933718929748,-21.466912666182765,-48.686976967178154,140.3617830824712,-113.36134477798743,63.09986761828095,5.10885710863515
20,-399.18428697741643,-49.398780040711905,-44.0847591643667,-0.08369832464904903,0.7206596537466083,-0.14021413756650247,-14.24330488729803,-55.721953614627594,136.44053973442618,-78.27801929235613,65.8964667058929,-2.285981894878241
21,-432.2315363466131,-53.7111339539966,-42.9739850129029,-0.15447844627806262,0.5818188387494061,-0.08258394703879901,-12.257876724269575,-48.42486898651413,135.159659707149,-108.32688084634026,67.57911970435416,13.897452688834838
22,-465.4393840748375,-57.1411999784492,-43.1904052498041,-0.11478184982559014,0.4773049460827039,-0.08568827448889493,-9.549862392094074,-48.46876276907171,129.5563054555972,-99.69372595361305,75.09056564075367,12.821137379895408
23,-498.5932062884373,-60.9573815151091,-43.7905781797461,-0.01102961158898097,0.5394626926861932,-0.13148780511340163,-9.076386310434456,-49.48062680533302,122.68648156377164,-82.2333763316606,71.20778852631688,-5.290631622556991
24,-531.4035341538014,-64.8816014883835,-44.2049010063983,-0.17229904750354308,0.4864101108626073,-0.05969078338059575,-8.970349204543691,-48.20715830527624,116.25280828896449,-73.75475113166588,65.13450574006932,12.182695962642578
25,-564.436165033478,-68.1028607506555,-45.2148439022969,-0.14245955675983168,0.4286665411302977,-0.08817459589329957,-8.043095602378639,-46.75509687105761,105.35851177233683,-46.208559459797094,65.03220412918368,-15.286666056637143
26,-598.0907891356478,-71.9227451955838,-43.9680135482772,0.0015256391777711542,0.37364713474831035,-0.16265095858379652,-4.9109625048753305,-43.56763915751119,105.56688961002227,-71.27364697455747,82.13122456270021,-2.242743542232808
27,-631.063908373225,-75.3113131318203,-45.092246401278295,-0.0028628947616198275,0.23346610017630098,-0.22974944459650004,-5.336803162105417,-41.7321285932814,93.8607438533256,-42.128897956415074,74.08691456457007,-1.6806748794231006
28,-663.8893690384429,-80.52148370608191,-43.815376613843796,-0.08313389178613306,0.35232337965440763,-0.178308035819704,-5.6264397059172335,-37.67254419549565,94.99046747363026,-77.23276104975044,66.51909928386314,6.918207654519154
29,-697.1076378056478,-84.07652028325981,-44.2518509372827,-0.12717986217535326,0.3171223716038156,0.012875290946695372,-4.63288815869783,-35.43251718525681,87.78562652036346,-68.43862955397572,70.1046419093656,8.020788425716272
30,-697.3749535705758,-83.63888221945639,11.5090565565755,-0.008124407596824312,0.29615352743158496,-0.08503133484020076,-3.6927821147554627,-41.08447664316065,88.88750627785018,-64.86654289773935,78.27391160878919,-6.620557588246113
31,-664.1946440966431,-79.7949178661535,11.5267074245786,0.00028035980119511805,0.20820028974510763,-0.17305871981490029,-4.714580383866771,-44.261950773899784,94.9679302942439,-65.55448046070528,74.2007636247873,8.576755118236095
32,-631.2003238164839,-75.0393561510789,10.503594065374,0.034214556561892095,0.11693648911180787,-0.1029579724874985,-4.915941238052794,-47.68076981591212,95.35088814593904,-41.77040029999918,77.3587399928846,7.96380127046834
33,-597.6467025287953,-71.7203565512377,10.2499255214351,-0.07439978497302491,0.2003180117509089,-0.06565765414429947,-7.435399094549108,-50.278662193973915,100.13686411309905,-40.665531544342244,63.252498546705226,-0.4465222879097439
