step_order,x_dif,y_dif,z_dif,rx_dif,ry_dif,rz_dif,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,x_set,y_set,z_set,rx_set,ry_set,rz_set
28,-0.0228133,-0.60373,1.17216,3.26473,1.45655,1.69216,-4.34961,-2.44658,1.07682,-1.89338,1.20723,0.028303,323.6177333,-3006.7958700000004,-53.155584999999995,-100.37064,-21.185012,-95.117705
29,-0.0523894,-0.898384,0.872471,3.41925,1.80344,1.47791,-4.45336,-3.09379,1.31633,-1.08822,0.951633,-0.098491,245.8555594,-2720.157616,-358.065401,-80.689604,-0.31022229999999995,-88.284386
30,0.140381,-0.658525,0.940968,3.11188,1.71886,1.45999,-4.04051,-2.95887,1.60095,-1.58198,0.827676,-0.142567,150.346259,-3011.0539750000003,-289.387428,-84.474195,-16.98054,-89.669685
31,0.0974583,-0.879568,0.906992,3.52136,1.69223,1.61884,-4.24722,-3.0109,1.26024,-1.22999,0.777346,-0.0709418,111.0209317,-2789.1821320000004,-323.153062,-87.225332,-2.61745127,-89.17663
32,-0.122307,-0.807689,1.00455,3.44929,1.73188,1.51089,-4.52677,-2.87502,1.24647,-1.33286,1.02029,-0.0465882,342.853117,-2781.412411,-224.8251,-84.78003000000001,-0.5500707,-89.087894
33,0.192351,-0.798894,1.16046,3.5096,1.6777,1.48607,-4.04364,-2.51056,0.598355,-1.00199,0.456844,-0.167017,48.036634,-2897.877306,-69.127926,-87.864947,4.3071949,-90.033326
34,0.0259528,-0.856178,0.830248,3.71132,1.70074,1.42898,-4.26411,-3.12424,1.33724,-1.08388,0.420059,-0.178494,181.2900372,-2786.013622,-398.777478,-87.070695,19.053884,-89.91779
35,-0.310979,-0.7192,0.988345,3.41374,1.68707,1.49707,-4.85632,-2.89129,1.35387,-1.48993,1.36751,0.00751598,551.233519,-2800.1731,-239.610535,-87.04125400000001,-1.8329811900000001,-89.833531
36,0.220614,-0.75581,0.864821,2.99123,1.90895,1.39751,-4.06341,-3.15175,1.5453,-1.11978,0.949607,-0.304169,43.004115000000006,-2946.19529,-368.334061,-72.97072800000001,-20.13468,-88.194034
37,0.211897,-0.550462,0.760572,3.51068,1.4897,1.66654,-3.69534,-3.12201,1.96102,-2.24984,0.288086,0.22811,117.572483,-3138.9942379999998,-465.566752,-97.906583,-5.7688251,-93.980432
38,0.354441,-0.441864,1.13096,3.00568,1.77581,1.58757,-3.37925,-2.63165,1.24725,-1.26326,0.439118,-0.482277,25.726319999999998,-3288.213036,-100.69690800000001,-79.97612699999999,-30.185854,-87.199752
39,-0.162169,-0.447534,1.15482,3.70776,1.5695,1.59739,-4.30011,-2.44434,1.30834,-2.00724,0.618075,1.2e-05,499.840599,-3106.9655660000003,-71.589721,-93.80037499999999,9.264029,-91.80001800000001
40,-0.269795,-0.763044,1.13229,3.30817,1.54543,1.6926,-4.87868,-2.57735,0.870743,-1.46026,1.69141,-0.00802976,501.781415,-2771.8777560000003,-94.14448399999999,-94.986686,-19.022395,-92.59381499999999
41,-0.00321808,-0.754473,0.790211,3.509,1.72966,1.4448,-4.2722,-3.22491,1.6856,-1.35491,0.646943,-0.142028,246.43759808000001,-2871.864227,-439.894871,-85.04819,6.5583558,-89.649394
42,0.082487,-0.653789,1.11907,3.55096,1.34614,1.47374,-4.03185,-2.50577,1.04291,-2.19829,0.424187,0.388864,199.61400300000003,-2996.410711,-105.07334999999999,-105.56320000000001,8.0488254,-94.947187
43,-0.00117964,-0.839371,0.769119,3.16998,1.44849,1.72156,-4.49339,-3.17541,1.61424,-1.7034,1.47405,0.0075995,225.86716964000001,-2791.448929,-456.177849,-101.21099,-28.236100999999998,-95.746693
