step_order,Timestamp,x_dif,y_dif,z_dif,rx_dif,ry_dif,rz_dif,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,measurement_temperature,x_set,y_set,z_set,rx_set,ry_set,rz_set
21,20200714164229,0.8,0.6,0.8,1.5708,1.5708,1.4660799999999998,-2.14766,-2.03803,-1.08494,-0.0203975,0.470298,0.0003591519999999,23.6800003051758,1685.8869,-1664.0979999999995,-516.8686299999999,-92.084056,-55.257931000000006,-92.60010000000001
22,20200714164233,0.8,0.6,0.8,1.5708,1.5708,1.50098,-2.15173,-2.02783,-1.10024,-0.0136207,0.510608,-0.00181896,23.6800003051758,1686.2185,-1663.7017999999998,-516.8539599999999,-92.08023800000001,-57.343651,-92.683477
23,20200714164237,0.8,0.6,0.8,1.5708,1.5708,1.53589,-2.15573,-2.0186900000000003,-1.11398,-0.00728685,0.548469,-0.00318271,23.6800003051758,1686.5570000000002,-1663.2963,-516.7194,-92.046698,-59.305304,-92.675967
24,20200714164246,0.8,0.6,0.8,1.5708,1.5708,1.6057,-2.16515,-2.00051,-1.14036,0.000722408,0.6273380000000001,-0.00260812,23.6800003051758,1687.1223,-1662.2422,-516.4134900000001,-92.18123200000001,-63.272217000000005,-92.828026
25,20200714164251,0.8,0.6,0.8,1.5708,1.5708,1.64061,-2.17016,-1.99147,-1.15312,0.00300956,0.667147,-0.000932995,23.6800003051758,1687.5988,-1661.7302,-516.3289799999998,-92.370727,-65.23613,-92.995954
26,20200714164255,0.8,0.6,0.8,1.5708,1.5708,1.67552,-2.17587,-1.98277,-1.16522,0.00523639,0.709329,-0.000406567,23.6800003051758,1687.9007000000001,-1661.0391,-516.20287,-92.591143,-67.28637900000001,-93.25483200000001
27,20200714164259,0.8,0.6,0.8,1.5708,1.5708,1.71042,-2.18132,-1.97562,-1.17542,0.00842118,0.748161,-0.000717942,23.6800003051758,1688.0524,-1660.5706,-516.20799,-92.727202,-69.206482,-93.436219
28,20200714164322,0.8,0.6,0.7,1.0472,1.5708,1.5708,-2.26169,-1.943,-1.3974,0.198122,1.21429,0.000191748,23.6800003051758,1689.9959000000001,-1653.2676999999999,-616.10567,-155.52589,-90.863915,-156.46401
29,20200714164332,0.8,0.6,0.7,1.22173,1.5708,1.5708,-2.22172,-1.95796,-1.37627,0.191706,0.998698,-0.00065786,23.6800003051758,1689.7421,-1656.2878999999998,-616.20734,-94.35596699999999,-81.23052700000001,-95.22234200000001
30,20200714164341,0.8,0.6,0.7,1.39626,1.5708,1.5708,-2.18773,-1.98477,-1.33811,0.180429,0.7904800000000001,0.000407089,23.6800003051758,1689.0415,-1658.9664,-616.1156500000001,-92.667846,-71.21310400000002,-93.321483
31,20200714164350,0.8,0.6,0.7,1.5708,1.5708,1.5708,-2.16049,-2.02266,-1.28291,0.163934,0.588594,-0.000262562,23.6800003051758,1687.6422,-1661.7554,-615.9904300000001,-92.150823,-61.278380000000006,-92.670001
32,20200714164359,0.8,0.6,0.7,1.7453299999999998,1.5708,1.5708,-2.14096,-2.06968,-1.21278,0.141009,0.39543,-0.00173504,23.6800003051758,1686.0889,-1663.9329,-616.15557,-92.02322,-51.287656,-92.477029
33,20200714164415,0.8,0.6,0.7,1.5708,0.8726649999999999,1.5708,-2.16049,-2.02213,-1.28351,0.162138,0.589158,0.697965,23.6800003051758,1687.5756000000001,-1661.9438,-615.9503000000001,-92.178735,-60.694629,-52.819942
34,20200714164421,0.8,0.6,0.7,1.5708,1.0472,1.5708,-2.16049,-2.02271,-1.28296,0.164065,0.5888220000000001,0.522185,23.6800003051758,1687.5224,-1661.8827999999999,-615.9583,-92.088667,-60.82654499999999,-62.695101
35,20200714164428,0.8,0.6,0.7,1.5708,1.22173,1.5708,-2.16054,-2.02209,-1.28378,0.163419,0.589746,0.349094,23.6800003051758,1687.6764,-1661.8632,-616.07018,-92.176208,-61.04511100000001,-72.79603900000001
36,20200714164435,0.8,0.6,0.7,1.5708,1.39626,1.5708,-2.16057,-2.0220700000000003,-1.28383,0.162593,0.589206,0.175417,23.6800003051758,1687.6908,-1661.7821,-616.1066400000001,-92.240829,-61.182590999999995,-82.84941999999998
37,20200714164448,0.8,0.6,0.7,1.5708,1.7453299999999998,1.5708,-2.16053,-2.0221,-1.28374,0.16312,0.589554,-0.174496,23.6800003051758,1687.7726,-1661.7243999999998,-616.0586700000002,-92.23591300000001,-61.509267,-102.82098
38,20200714164455,0.8,0.6,0.7,1.5708,1.91986,1.5708,-2.16052,-2.0230900000000003,-1.28304,0.166771,0.58923,-0.351815,23.6800003051758,1687.6627,-1661.7078,-616.25477,-92.03045900000001,-61.651708,-112.71434
39,20200714164502,0.8,0.6,0.7,1.5708,2.0944,1.5708,-2.16037,-2.02299,-1.28282,0.164364,0.587743,-0.5250560000000001,23.6800003051758,1687.7033000000001,-1661.6481999999999,-616.16673,-92.154605,-61.725762,-122.78856
40,20200714164509,0.8,0.6,0.7,1.5708,2.26893,1.5708,-2.16034,-2.02278,-1.283,0.164316,0.588546,-0.697864,23.6800003051758,1687.7629,-1661.6861,-616.0709,-92.14928300000001,-61.9306,-132.70423
41,20200714164524,0.8,0.6,0.7,1.5708,1.5708,1.39626,-2.14098,-2.0701400000000003,-1.2125,0.142649,0.395082,-0.00206978,23.6800003051758,1686.0517,-1663.9107999999999,-616.32581,-91.799467,-51.277153999999996,-92.185088
42,20200714164528,0.8,0.6,0.7,1.5708,1.5708,1.43117,-2.14406,-2.05932,-1.22844,0.144242,0.432961,0.000981583,23.6800003051758,1686.4942,-1663.5788,-616.22938,-91.972828,-53.30091,-92.38312699999999
43,20200714164533,0.8,0.6,0.7,1.5708,1.5708,1.4660799999999998,-2.14772,-2.05029,-1.24236,0.152992,0.471425,-0.00281221,23.6800003051758,1686.7577,-1663.1020999999998,-616.26198,-91.86740300000001,-55.302983999999995,-92.367472
44,20200714164537,0.8,0.6,0.7,1.5708,1.5708,1.50098,-2.15153,-2.04134,-1.25597,0.157601,0.5089520000000001,-0.00289566,23.6800003051758,1686.9942,-1662.7395,-616.38115,-91.91976000000001,-57.243699,-92.451156
45,20200714164542,0.8,0.6,0.7,1.5708,1.5708,1.53589,-2.15584,-2.03104,-1.27078,0.158559,0.549764,0.00126883,23.6800003051758,1687.3736000000001,-1662.3381,-616.2761200000002,-92.174885,-59.349986,-92.634889
46,20200714164550,0.8,0.6,0.7,1.5708,1.5708,1.6057,-2.16503,-2.01416,-1.29532,0.1664,0.627422,-0.000202958,23.6800003051758,1688.0544,-1661.3418,-616.04511,-92.337907,-63.267074,-92.938448
47,20200714164555,0.8,0.6,0.7,1.5708,1.5708,1.64061,-2.17056,-2.00605,-1.30736,0.170146,0.668899,0.00117296,23.6800003051758,1688.2629,-1660.6228999999998,-616.1376200000001,-92.460802,-65.308475,-93.006163
48,20200714164559,0.8,0.6,0.7,1.5708,1.5708,1.67552,-2.17577,-1.99942,-1.31777,0.176874,0.708357,-0.00266821,23.6800003051758,1688.5774000000001,-1660.0856999999999,-616.2299200000002,-92.31754500000001,-67.230985,-93.01972500000001
49,20200714164604,0.8,0.6,0.7,1.5708,1.5708,1.71042,-2.18142,-1.99145,-1.32838,0.17679,0.7485689999999999,-0.000466172,23.6800003051758,1688.8882,-1659.5145,-616.13165,-92.73543500000001,-69.20144900000001,-93.428571
50,20200714164626,0.8,0.6,0.6,1.0472,1.5708,1.5708,-2.2616400000000003,-1.98898,-1.5142799999999998,0.36232,1.21358,-0.00206978,23.6800003051758,1690.5348000000001,-1652.2545,-715.99994,-148.43385,-90.88993399999998,-149.48791
51,20200714164636,0.8,0.6,0.6,1.22173,1.5708,1.5708,-2.2216400000000003,-2.00243,-1.49355,0.353284,0.99835,-0.000191037,23.6800003051758,1690.367,-1655.3718999999999,-716.07132,-94.490056,-81.19814499999998,-95.349784
52,20200714164645,0.8,0.6,0.6,1.39626,1.5708,1.5708,-2.18758,-2.02768,-1.45622,0.34141,0.789941,4.79369e-05,23.6800003051758,1689.7128,-1658.0689,-716.4911900000001,-92.794594,-71.180122,-93.513616
53,20200714164654,0.8,0.6,0.6,1.5708,1.5708,1.5708,-2.16045,-2.06277,-1.40289,0.323098,0.589542,0.000826163,23.6800003051758,1688.404,-1660.9119999999998,-716.42611,-92.28259800000001,-61.319817,-92.825732
54,20200714164703,0.8,0.6,0.6,1.7453299999999998,1.5708,1.5708,-2.14107,-2.10611,-1.33544,0.297496,0.39597,0.00239385,23.6800003051758,1686.9505000000001,-1662.8357999999998,-716.0399,-92.124681,-51.304361,-92.49122700000001
55,20200714164719,0.8,0.6,0.6,1.5708,0.8726649999999999,1.5708,-2.16037,-2.06318,-1.40247,0.323194,0.58833,0.696661,23.6800003051758,1688.2536,-1661.0340999999999,-716.37546,-92.184747,-60.64587100000001,-52.909293
56,20200714164725,0.8,0.6,0.6,1.5708,1.0472,1.5708,-2.16063,-2.06268,-1.40298,0.321817,0.5895779999999999,0.525381,23.6800003051758,1688.2432000000001,-1660.9206,-716.38593,-92.301253,-60.853272999999994,-62.849833
57,20200714164732,0.8,0.6,0.6,1.5708,1.22173,1.5708,-2.1604,-2.06277,-1.40279,0.322045,0.58863,0.351212,23.6800003051758,1688.3268,-1660.9796999999999,-716.4198700000001,-92.306583,-60.974308,-72.88495
58,20200714164739,0.8,0.6,0.6,1.5708,1.39626,1.5708,-2.16041,-2.06365,-1.40215,0.325324,0.588342,0.172401,23.6800003051758,1688.2901,-1660.9336999999998,-716.5403200000001,-92.13426000000001,-61.11935,-82.865086
59,20200714164752,0.8,0.6,0.6,1.5708,1.7453299999999998,1.5708,-2.16026,-2.06333,-1.40241,0.324151,0.587671,-0.17537,23.6800003051758,1688.4674,-1660.8464999999999,-716.52614,-92.230091,-61.408170000000005,-102.87610000000001
60,20200714164759,0.8,0.6,0.6,1.5708,1.91986,1.5708,-2.16045,-2.0630900000000003,-1.40251,0.32305,0.588258,-0.349433,23.6800003051758,1688.4233000000002,-1660.6876,-716.46646,-92.29581800000001,-61.584711,-113.01553000000001
61,20200714164806,0.8,0.6,0.6,1.5708,2.0944,1.5708,-2.16048,-2.06297,-1.40277,0.323098,0.588642,-0.5232,23.6800003051758,1688.469,-1660.6707,-716.55762,-92.31070700000001,-61.76062,-122.94346
62,20200714164813,0.8,0.6,0.6,1.5708,2.26893,1.5708,-2.16047,-2.06286,-1.4029200000000002,0.323218,0.58887,-0.697326,23.6800003051758,1688.5593000000001,-1660.6242,-716.4708799999999,-92.286882,-61.9341,-132.91101999999998
63,20200714164828,0.8,0.6,0.6,1.5708,1.5708,1.39626,-2.14094,-2.10686,-1.33445,0.29752,0.393966,0.00134074,23.6800003051758,1686.8969,-1662.8687,-716.01719,-91.932203,-51.205194,-92.3188
64,20200714164832,0.8,0.6,0.6,1.5708,1.5708,1.43117,-2.14411,-2.09782,-1.3489,0.303863,0.432013,2.39685e-05,23.6800003051758,1687.2125,-1662.4532,-716.3639000000001,-91.969409,-53.226040999999995,-92.45944899999999
65,20200714164837,0.8,0.6,0.6,1.5708,1.5708,1.4660799999999998,-2.14776,-2.08948,-1.36238,0.312337,0.470274,-0.00264436,23.6800003051758,1687.5364,-1662.0078999999998,-716.42754,-91.89440300000001,-55.224561,-92.425191
66,20200714164841,0.8,0.6,0.6,1.5708,1.5708,1.50098,-2.15164,-2.0797,-1.37701,0.313977,0.510392,0.000407089,23.6800003051758,1687.8087,-1661.6981999999998,-716.3375599999998,-92.11252400000001,-57.312397,-92.623163
67,20200714164845,0.8,0.6,0.6,1.5708,1.5708,1.53589,-2.15576,-2.0720400000000003,-1.3895,0.321506,0.548132,-0.00308687,23.6800003051758,1688.1221,-1661.2784,-716.5491000000001,-92.04151300000001,-59.249553,-92.684788
68,20200714164854,0.8,0.6,0.6,1.5708,1.5708,1.6057,-2.16523,-2.05527,-1.41441,0.326485,0.627566,-0.0002268,23.6800003051758,1688.6729,-1660.2533999999998,-716.4966400000001,-92.425888,-63.253293000000006,-93.081337
69,20200714164859,0.8,0.6,0.6,1.5708,1.5708,1.64061,-2.17049,-2.04767,-1.4260700000000002,0.331081,0.669091,-0.000585858,23.6800003051758,1688.9558,-1659.7661999999998,-716.5126700000001,-92.510045,-65.306543,-93.190721
70,20200714164903,0.8,0.6,0.6,1.5708,1.5708,1.67552,-2.17577,-2.04067,-1.43664,0.334205,0.709113,8.38896e-05,23.6800003051758,1689.2406,-1659.2239,-716.56542,-92.690161,-67.252983,-93.37596900000001
71,20200714164907,0.8,0.6,0.6,1.5708,1.5708,1.71042,-2.18175,-2.03393,-1.44681,0.33788,0.75044,0.000107858,23.6800003051758,1689.4315000000001,-1658.5637,-716.4965900000002,-92.818448,-69.27197500000001,-93.52035599999999
72,20200714164938,0.8,0.6,0.5,1.22173,1.5708,1.5708,-2.22174,-2.07143,-1.5810799999999998,0.511061,0.998541,-0.00123245,23.6800003051758,1690.9799,-1654.4512,-815.65047,-93.95597199999999,-81.20401500000001,-94.830911
73,20200714164947,0.8,0.6,0.5,1.39626,1.5708,1.5708,-2.18743,-2.09452,-1.54391,0.496017,0.7896770000000001,-0.000131432,23.6800003051758,1690.4544,-1657.1956,-815.77872,-92.6491,-71.16895600000001,-93.349495
74,20200714164956,0.8,0.6,0.5,1.5708,1.5708,1.5708,-2.16058,-2.12707,-1.49116,0.475636,0.5897220000000001,-5.94298e-05,23.6800003051758,1689.2154,-1659.8204999999998,-815.6985,-92.208483,-61.318916,-92.774046
75,20200714165005,0.8,0.6,0.5,1.7453299999999998,1.5708,1.5708,-2.14087,-2.1680200000000003,-1.42379,0.448888,0.39429,0.000131826,23.6800003051758,1687.9125000000001,-1661.8487,-815.50584,-92.047263,-51.195293,-92.464482
76,20200714165020,0.8,0.6,0.5,1.5708,0.8726649999999999,1.5708,-2.16045,-2.12701,-1.49116,0.4748350000000001,0.58863,0.6976899999999999,23.6800003051758,1689.2026,-1659.9388,-815.57252,-92.164665,-60.639519,-52.831471
77,20200714165027,0.8,0.6,0.5,1.5708,1.0472,1.5708,-2.16048,-2.12775,-1.4905700000000002,0.477563,0.588414,0.521682,23.6800003051758,1689.1733000000002,-1659.8858,-815.65933,-92.02992,-60.787923,-62.655873
78,20200714165034,0.8,0.6,0.5,1.5708,1.22173,1.5708,-2.16071,-2.1266700000000003,-1.49157,0.4750140000000001,0.590167,0.349644,23.6800003051758,1689.2394,-1659.7847,-815.63162,-92.2232,-61.033951,-72.858394
